                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4867,                 1.9579,                 1.4189,                0.46296,                0.53066,                0.34964,                0.17084,                 1.6213,                 16.309,                 1.7992,             0.00065476,             0.00065476,             0.00065476
                      2,                  1.662,                 1.6594,                 1.5567,                0.07347,                0.54481,                0.06302,                0.03099,                  1.759,                 80.775,                 2.3686,              0.0013171,              0.0013171,              0.0013171
                      3,                 1.6078,                 1.5151,                 1.5426,                0.42701,                0.27594,                0.21539,                0.08802,                 1.9153,                 34.167,                 2.3504,               0.001975,               0.001975,               0.001975
                      4,                 1.6613,                 1.5183,                 1.5951,                0.23976,                0.58726,                0.42257,                0.22209,                 1.7662,                 12.206,                 2.0644,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.5397,                 1.3118,                 1.4979,                0.62163,                 0.6781,                0.67725,                0.34643,                 1.6823,                 2.4262,                 1.7623,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.4804,                 1.2488,                 1.4418,                0.66885,                0.66981,                0.68311,                0.32541,                 1.8465,                 2.8627,                 1.9224,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.4732,                 1.1848,                 1.4571,                0.73844,                0.68632,                 0.7541,                0.44256,                 1.5392,                 1.7893,                 1.6648,               0.001967,               0.001967,               0.001967
                      8,                 1.4249,                 1.1293,                 1.3983,                0.76878,                0.79985,                0.83111,                0.45434,                 1.5493,                 1.5571,                 1.5932,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.4667,                 1.1628,                 1.4372,                 0.7607,                0.72406,                0.77172,                0.41467,                 1.5733,                  2.013,                  1.609,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.4498,                 1.1776,                 1.4434,                0.80617,                0.69811,                0.78423,                0.43534,                 1.5658,                 2.4065,                 1.6989,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.4035,                 1.0978,                 1.3987,                0.78543,                0.79953,                0.84896,                0.50014,                 1.4177,                  1.326,                 1.5126,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.3737,                   1.06,                 1.3805,                0.85308,                0.79717,                0.85993,                0.51863,                 1.3842,                 1.1546,                 1.4726,               0.001934,               0.001934,               0.001934
                     13,                  1.369,                 1.0331,                 1.3684,                0.87446,                0.81132,                0.88675,                0.51477,                 1.4421,                 1.1211,                 1.5174,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.3658,                 1.0464,                  1.381,                0.81024,                0.80189,                0.87048,                0.54082,                 1.3448,                 1.1717,                 1.4423,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.3279,                 1.0264,                 1.3567,                0.85992,                0.81078,                0.89119,                  0.549,                 1.3473,                 1.0418,                 1.4469,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.3191,                0.99871,                 1.3552,                0.81349,                0.83322,                0.87847,                0.52645,                 1.3767,                 1.0538,                 1.4613,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.3162,                0.98575,                 1.3315,                0.80713,                0.84884,                0.87745,                0.53868,                 1.3574,                  1.093,                 1.4655,               0.001901,               0.001901,               0.001901
                     18,                 1.3031,                0.92116,                 1.3328,                0.83137,                0.81604,                0.87182,                0.53729,                 1.3684,                 1.0822,                 1.4661,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.2885,                0.93712,                 1.3239,                0.85579,                 0.8467,                0.90146,                0.56998,                 1.2922,                0.93589,                 1.3939,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.2776,                0.92265,                 1.3356,                0.83955,                0.83019,                0.88378,                0.55357,                 1.3477,                 1.0763,                 1.4498,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.2677,                0.92328,                 1.3292,                0.83148,                0.84434,                0.87982,                0.55704,                 1.3553,                  1.045,                 1.4748,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.2497,                0.94152,                 1.3132,                0.84465,                0.83351,                0.86691,                0.56386,                 1.2671,                 1.4772,                 1.3817,               0.001868,               0.001868,               0.001868
                     23,                 1.2745,                0.93059,                 1.3271,                0.84136,                0.83255,                0.89567,                0.58396,                 1.2986,                0.93559,                 1.3971,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.2432,                0.89495,                 1.3028,                0.92251,                0.81604,                0.91765,                0.60269,                 1.2677,                0.82903,                 1.3918,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.2094,                0.86991,                 1.2732,                0.89494,                0.83491,                0.91502,                0.58537,                 1.2605,                0.96215,                 1.3895,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.2298,                 0.8663,                 1.2895,                0.84162,                0.85613,                0.90327,                0.58982,                 1.2541,                0.89831,                 1.3711,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.2293,                0.88554,                 1.3098,                0.90639,                0.83962,                 0.9341,                0.60495,                 1.2205,                0.89544,                 1.3358,               0.001835,               0.001835,               0.001835
                     28,                 1.2272,                0.84586,                 1.3002,                0.85635,                 0.8858,                0.92874,                0.60803,                 1.2269,                0.81431,                 1.3435,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.2077,                 0.8378,                 1.2863,                0.88564,                0.87028,                0.92625,                0.59826,                 1.2598,                0.81272,                 1.3515,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.2332,                0.86719,                 1.2942,                0.87527,                0.83726,                0.91615,                0.58473,                 1.2952,                 0.8515,                 1.3852,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.2143,                0.83939,                 1.2846,                 0.8744,                0.82783,                0.89669,                0.55339,                  1.332,                0.92944,                 1.4286,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.2202,                0.85894,                 1.2871,                0.89641,                0.84906,                0.91894,                0.60506,                 1.2568,                0.79042,                 1.3861,               0.001802,               0.001802,               0.001802
                     33,                 1.1879,                 0.8111,                 1.2786,                0.87123,                0.86172,                0.90978,                0.58441,                 1.2873,                0.88996,                 1.3885,              0.0017954,              0.0017954,              0.0017954
                     34,                  1.194,                0.85564,                 1.2813,                0.89857,                 0.8066,                0.89882,                0.57196,                 1.2716,                0.92552,                 1.3856,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.1647,                0.78584,                  1.247,                0.88139,                0.85613,                0.92053,                0.59877,                 1.2636,                0.79769,                 1.3871,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.2064,                0.82725,                 1.2743,                0.90756,                0.84906,                0.92513,                0.60406,                 1.2408,                 0.8415,                 1.3584,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.1786,                0.80581,                 1.2716,                0.90029,                0.89151,                0.93527,                0.61152,                 1.2651,                0.76106,                 1.3594,               0.001769,               0.001769,               0.001769
                     38,                 1.1479,                0.78577,                 1.2534,                0.88787,                 0.8467,                0.92647,                0.61127,                 1.2506,                0.77319,                 1.3626,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.1839,                0.78751,                 1.2457,                0.93259,                0.84834,                0.92532,                0.59641,                 1.2928,                0.81616,                 1.4252,              0.0017558,              0.0017558,              0.0017558
                     40,                  1.171,                 0.7921,                 1.2479,                0.91804,                0.85142,                0.93075,                0.61507,                 1.2461,                0.78434,                 1.3703,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.1539,                0.75108,                 1.2302,                0.93936,                 0.8184,                0.92078,                0.62624,                 1.1995,                0.76743,                 1.3177,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.1443,                0.74535,                 1.2348,                0.91915,                0.84198,                0.93306,                0.60937,                 1.2203,                0.76157,                 1.3428,               0.001736,               0.001736,               0.001736
                     43,                 1.1829,                0.76604,                 1.2549,                 0.8968,                0.87736,                0.92474,                0.59629,                 1.2128,                0.83668,                 1.3404,              0.0017294,              0.0017294,              0.0017294
                     44,                  1.131,                0.76231,                 1.2397,                0.87865,                  0.875,                0.92593,                0.60845,                 1.2326,                0.77147,                  1.355,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.1424,                0.75401,                 1.2354,                0.90936,                0.86792,                0.92931,                0.62057,                 1.2337,                  0.778,                 1.3436,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.1228,                0.74383,                 1.2227,                0.91285,                  0.875,                 0.9402,                0.61611,                 1.1963,                0.76756,                 1.3108,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.1284,                0.74907,                 1.2269,                0.85942,                0.85068,                0.89533,                0.59542,                 1.2247,                0.80182,                 1.3379,               0.001703,               0.001703,               0.001703
                     48,                 1.1135,                0.73063,                 1.2199,                0.91028,                 0.8467,                0.93378,                0.61897,                 1.2204,                0.73449,                 1.3523,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.1528,                0.77034,                  1.239,                0.91551,                0.85849,                0.94176,                0.61951,                 1.2497,                0.77249,                  1.365,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.1521,                  0.757,                 1.2318,                0.93384,                0.83228,                0.92427,                0.61983,                 1.2114,                0.76287,                 1.3104,              0.0016832,              0.0016832,              0.0016832
                     51,                   1.12,                0.73179,                 1.2304,                0.90265,                0.87471,                0.93005,                0.62561,                 1.2093,                0.72271,                 1.3123,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.1287,                0.74333,                 1.2333,                0.89414,                 0.8765,                0.92907,                0.60857,                 1.2394,                0.90033,                 1.3413,                0.00167,                0.00167,                0.00167
                     53,                 1.1251,                0.74886,                 1.2274,                0.91091,                0.86811,                0.93451,                 0.6173,                 1.2326,                0.72242,                  1.345,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.1234,                0.72065,                 1.2141,                0.88681,                0.87972,                0.93439,                0.62068,                 1.2226,                0.73315,                 1.3224,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.0945,                0.70089,                 1.1838,                0.89915,                0.87972,                0.94113,                0.63545,                 1.1892,                0.70049,                  1.289,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.0934,                0.68289,                 1.1863,                0.92092,                0.86085,                0.93816,                0.63015,                 1.2073,                0.71623,                 1.3337,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.0794,                0.70496,                 1.2068,                0.86074,                0.87736,                0.93053,                0.62208,                 1.1892,                0.72212,                 1.3175,               0.001637,               0.001637,               0.001637
                     58,                 1.1125,                0.73145,                 1.2181,                0.90091,                0.87028,                0.93693,                0.62457,                 1.2283,                0.73529,                 1.3584,              0.0016304,              0.0016304,              0.0016304
                     59,                  1.104,                0.69495,                 1.2004,                 0.9134,                0.87068,                0.93561,                0.62974,                 1.2397,                0.71064,                 1.3584,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.0825,                0.70656,                 1.2067,                 0.8974,                0.88707,                0.93687,                0.63102,                 1.2012,                0.71246,                 1.3442,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.0884,                0.70525,                  1.195,                0.89455,                0.85849,                0.93511,                 0.6222,                 1.1885,                0.71053,                  1.327,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.0884,                0.68201,                 1.2013,                0.92679,                 0.8659,                 0.9413,                0.62542,                 1.2254,                0.76393,                 1.3499,               0.001604,               0.001604,               0.001604
                     63,                 1.0837,                0.68786,                 1.1908,                0.88234,                0.90203,                0.93609,                0.63091,                  1.217,                0.70533,                 1.3224,              0.0015974,              0.0015974,              0.0015974
                     64,                 1.0543,                0.64701,                  1.183,                0.91307,                0.86701,                 0.9433,                0.64799,                 1.1727,                0.69261,                 1.2949,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.0715,                0.65934,                  1.198,                0.90431,                0.86925,                0.93723,                0.63195,                 1.2226,                0.68753,                 1.3526,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.0621,                0.66767,                 1.1891,                0.87694,                0.89075,                0.95165,                0.63544,                 1.1781,                0.69122,                 1.3056,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.0917,                0.68017,                 1.1886,                0.94416,                 0.8374,                0.94442,                 0.6507,                 1.1333,                0.67545,                  1.265,               0.001571,               0.001571,               0.001571
                     68,                 1.0784,                0.67763,                  1.193,                0.91547,                0.86848,                0.94528,                0.63647,                 1.1924,                0.69027,                  1.317,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.0705,                0.67467,                 1.1951,                0.89187,                 0.8948,                0.94448,                0.64006,                 1.1862,                0.68412,                 1.3081,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.1074,                 0.6875,                 1.2115,                0.90799,                0.88444,                0.93522,                0.63959,                 1.1801,                0.68881,                 1.3059,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.0696,                0.66304,                 1.1783,                0.89827,                0.88915,                 0.9382,                0.63958,                 1.1873,                0.68993,                 1.3111,              0.0015446,              0.0015446,              0.0015446
                     72,                  1.063,                0.65569,                 1.1706,                 0.9337,                0.86355,                0.94229,                0.63419,                 1.1948,                  0.683,                   1.31,               0.001538,               0.001538,               0.001538
                     73,                 1.0789,                0.68672,                 1.1954,                0.91656,                0.88083,                0.94079,                0.62969,                 1.1841,                0.69754,                 1.3117,              0.0015314,              0.0015314,              0.0015314
                     74,                 1.0314,                0.65607,                 1.1746,                 0.9203,                0.88915,                0.95236,                0.65484,                 1.1632,                0.65464,                 1.3017,              0.0015248,              0.0015248,              0.0015248
                     75,                 1.0501,                0.63712,                 1.1699,                0.92384,                  0.875,                0.94595,                0.65136,                 1.1495,                0.64962,                 1.2743,              0.0015182,              0.0015182,              0.0015182
                     76,                 1.0414,                 0.6365,                 1.1808,                0.91348,                0.88443,                0.93941,                0.64097,                 1.1775,                0.67776,                 1.3008,              0.0015116,              0.0015116,              0.0015116
                     77,                 1.0322,                0.64966,                 1.1799,                0.90315,                0.87973,                0.94353,                0.64797,                  1.172,                0.68122,                 1.3083,               0.001505,               0.001505,               0.001505
                     78,                 1.0325,                0.61866,                 1.1609,                0.89433,                0.90094,                0.94163,                0.64318,                 1.1894,                 0.6577,                 1.3342,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.0415,                0.65695,                  1.186,                0.89616,                0.88208,                0.94486,                0.63467,                 1.2251,                0.74136,                 1.3557,              0.0014918,              0.0014918,              0.0014918
                     80,                  1.045,                0.63358,                  1.176,                0.90617,                0.87972,                0.94494,                0.64245,                 1.1885,                0.66525,                 1.3314,              0.0014852,              0.0014852,              0.0014852
                     81,                 1.0527,                0.64722,                 1.1759,                0.92684,                0.86557,                0.94452,                0.64715,                 1.1857,                0.69594,                 1.3307,              0.0014786,              0.0014786,              0.0014786
                     82,                 1.0444,                0.63195,                 1.1791,                0.89518,                0.89858,                0.93162,                0.64187,                 1.1881,                0.65862,                 1.3336,               0.001472,               0.001472,               0.001472
                     83,                 1.0352,                0.61897,                  1.153,                0.90644,                0.88208,                0.94155,                0.64041,                 1.1812,                0.65467,                 1.3196,              0.0014654,              0.0014654,              0.0014654
                     84,                 1.0239,                0.59961,                 1.1549,                0.91194,                0.90802,                0.95201,                0.65496,                 1.1613,                0.64182,                 1.3048,              0.0014588,              0.0014588,              0.0014588
                     85,                 1.0299,                0.62472,                 1.1602,                0.88719,                0.89035,                0.94685,                0.64495,                 1.1595,                0.64547,                  1.281,              0.0014522,              0.0014522,              0.0014522
