                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.573,                 2.3977,                 1.5003,                0.65823,                0.60142,                0.67419,                0.38804,                  1.316,                 6.4068,                 1.2906,                0.00054,                0.00054,                0.00054
                      2,                 1.4062,                 1.3346,                 1.3288,                0.39082,                0.66509,                 0.5245,                0.26154,                 1.6319,                 5.8815,                 1.7184,              0.0010964,              0.0010964,              0.0010964
                      3,                 1.4684,                 1.2626,                 1.3718,                0.31496,                0.53302,                0.37083,                0.17073,                 1.8768,                 8.2386,                 2.1086,               0.001649,               0.001649,               0.001649
                      4,                 1.4139,                 1.1661,                 1.3506,                0.32479,                0.44811,                0.25025,                 0.1073,                 1.9875,                 18.516,                   2.53,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.4009,                   1.11,                 1.3411,                0.42643,                0.78538,                0.54072,                0.28176,                 1.5148,                 6.6825,                    1.7,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.3942,                 1.0491,                 1.3496,                0.31078,                0.63443,                0.45444,                0.23969,                  1.543,                 9.1595,                 1.6621,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.3422,                 1.0466,                 1.3173,                0.60221,                0.62483,                 0.6204,                0.33961,                 1.5423,                 3.9664,                 1.6359,               0.001967,               0.001967,               0.001967
                      8,                 1.3691,                 1.0591,                 1.3518,                0.75606,                0.76022,                0.79205,                0.46506,                 1.4502,                 2.3434,                 1.4906,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.3392,                  1.007,                 1.3243,                0.76894,                0.76179,                0.81715,                0.49479,                 1.4336,                 1.1618,                 1.4465,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.2978,                 0.9443,                 1.2863,                0.83282,                0.77544,                0.84036,                0.49208,                 1.4352,                 1.6932,                 1.3823,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.2933,                0.92424,                 1.2815,                0.86515,                0.79717,                0.86813,                0.53763,                 1.4693,                 1.2091,                 1.4906,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.3028,                0.91612,                 1.2782,                0.85052,                0.80896,                0.87762,                0.53721,                 1.3851,                 1.1162,                 1.4314,               0.001934,               0.001934,               0.001934
                     13,                 1.2649,                0.88545,                 1.2618,                0.79907,                0.82539,                0.86865,                0.53554,                 1.4029,                 1.1563,                 1.4323,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.2706,                0.89885,                 1.2747,                0.86431,                0.84126,                0.90895,                0.57427,                  1.308,                0.93842,                 1.3388,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.2724,                0.89736,                 1.2752,                0.85192,                0.84434,                0.90677,                 0.5614,                 1.3433,                 1.1088,                 1.3911,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.2364,                0.84651,                 1.2436,                0.87549,                0.82075,                0.87969,                0.54849,                 1.3483,                 1.0053,                 1.3753,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.2511,                0.89204,                 1.2624,                0.81843,                0.85049,                0.87034,                0.53293,                 1.3742,                 2.0171,                 1.4007,               0.001901,               0.001901,               0.001901
