                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6358,                 3.6162,                  4.179,                0.00296,                0.29481,                0.00789,                 0.0024,                 3.5325,                 3.9497,                 4.2079,                0.00054,                0.00054,                0.00054
                      2,                 3.0347,                 3.0157,                 3.5847,                0.00296,                0.29481,                0.00789,                 0.0024,                    nan,                    nan,                    nan,              0.0010964,              0.0010964,              0.0010964
                      3,                 2.8337,                 2.8008,                 3.2295,                0.00296,                0.29481,                0.00789,                 0.0024,                    nan,                    nan,                    nan,               0.001649,               0.001649,               0.001649
                      4,                 2.7352,                 2.6753,                 2.9991,                0.00877,                0.63915,                0.00686,                0.00294,                    nan,                    nan,                    nan,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.5997,                  2.511,                 2.8645,                0.00474,                0.07547,                0.00122,                0.00021,                    nan,                    nan,                    nan,              0.0019802,              0.0019802,              0.0019802
                      6,                 2.4168,                 2.4091,                 2.7046,                0.08599,                 0.5684,                0.09662,                0.03471,                 2.6419,                  44.72,                 5.8364,              0.0019736,              0.0019736,              0.0019736
                      7,                 2.3574,                 2.3081,                 2.6241,                0.02513,                0.57311,                0.01989,                0.00692,                 2.8242,                 103.08,                 7.4098,               0.001967,               0.001967,               0.001967
                      8,                  2.393,                 2.2925,                 2.6433,                 0.1351,                0.43632,                0.09667,                0.03213,                 2.3842,                 10.486,                 3.2191,              0.0019604,              0.0019604,              0.0019604
                      9,                 2.3004,                 2.2042,                 2.5702,                0.25437,                0.35613,                0.19088,                 0.0661,                 2.3647,                 5.1907,                 2.9345,              0.0019538,              0.0019538,              0.0019538
                     10,                  2.256,                 2.0779,                 2.4889,                0.49449,                0.35849,                0.38876,                0.15133,                 2.1674,                 2.9033,                 2.6873,              0.0019472,              0.0019472,              0.0019472
                     11,                 2.1707,                 2.0576,                 2.4451,                 0.2273,                0.41509,                0.17476,                0.06907,                 2.2093,                  9.424,                 2.9959,              0.0019406,              0.0019406,              0.0019406
                     12,                 2.1395,                 1.9757,                 2.3987,                0.36365,                0.25943,                0.25111,                0.10194,                 2.2276,                 2.7314,                 2.7209,               0.001934,               0.001934,               0.001934
                     13,                 2.0555,                 1.9355,                  2.341,                0.40699,                0.45755,                  0.404,                0.16351,                  2.032,                 3.2437,                 2.5372,              0.0019274,              0.0019274,              0.0019274
                     14,                 2.0418,                 1.8678,                 2.3194,                 0.5913,                0.43632,                0.47354,                0.20512,                 2.0409,                   2.06,                 2.5336,              0.0019208,              0.0019208,              0.0019208
                     15,                 2.0283,                 1.8764,                 2.3089,                0.68602,                0.35377,                0.49663,                0.25545,                 1.8669,                 2.0489,                 2.4248,              0.0019142,              0.0019142,              0.0019142
