                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6307,                 3.5535,                 4.2623,                0.00284,                0.28302,                0.00521,                0.00164,                 3.5305,                 3.8861,                 4.1698,                0.00054,                0.00054,                0.00054
                      2,                 3.1871,                 2.8983,                 3.6815,                 0.0031,                0.29953,                0.00388,                0.00126,                  3.465,                 3.9141,                 4.1692,              0.0010964,              0.0010964,              0.0010964
                      3,                 2.8398,                 2.5241,                 3.2184,                0.00671,                0.23821,                0.00683,                0.00211,                 3.3931,                 4.0006,                 4.1267,               0.001649,               0.001649,               0.001649
                      4,                 2.6542,                 2.4147,                 2.9463,                0.03627,                0.28538,                0.02788,                0.01008,                 2.6715,                 20.238,                 3.3417,              0.0019802,              0.0019802,              0.0019802
                      5,                  2.476,                 2.2767,                  2.744,                0.09142,                0.28538,                0.08506,                0.03474,                 2.2792,                 21.123,                 3.7692,              0.0019802,              0.0019802,              0.0019802
                      6,                 2.3139,                 2.1303,                 2.6028,                0.46283,                0.47877,                0.41822,                0.16064,                 2.2814,                 7.1757,                 2.8504,              0.0019736,              0.0019736,              0.0019736
                      7,                 2.2163,                  2.052,                 2.4728,                0.06159,                0.64387,                0.05468,                0.02512,                 2.1453,                 55.578,                  3.075,               0.001967,               0.001967,               0.001967
                      8,                 2.2032,                 2.0175,                 2.4519,                0.49244,                0.51715,                0.52503,                0.25886,                 1.9427,                 3.7264,                 2.3861,              0.0019604,              0.0019604,              0.0019604
                      9,                 2.0298,                 1.8672,                 2.2911,                0.71416,                0.49764,                0.63052,                0.31082,                 2.0092,                 2.0052,                 2.3959,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.9863,                 1.7466,                 2.2305,                0.65659,                0.39232,                0.52166,                0.24545,                 2.0904,                 2.0479,                 2.5184,              0.0019472,              0.0019472,              0.0019472
