epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
0/299,11.9G,0.07264,0.02149,0,0.09413,164,640,0.02845,0.0566,0.007897,0.001489,0.1078,0.02436,0
1/299,10.7G,0.06754,0.01881,0,0.08636,189,640,0.08983,0.07547,0.02063,0.004949,0.09742,0.02428,0
2/299,12.8G,0.06233,0.01911,0,0.08145,202,640,0.1102,0.08726,0.0371,0.01017,0.09541,0.02338,0
3/299,12.8G,0.05786,0.01895,0,0.07681,202,640,0.1208,0.1863,0.06663,0.01578,0.0847,0.02528,0
4/299,12.8G,0.05485,0.01982,0,0.07467,202,640,0.3883,0.3578,0.2631,0.07574,0.0764,0.02607,0
5/299,12.8G,0.05301,0.01799,0,0.071,208,640,0.464,0.5425,0.457,0.1924,0.06934,0.02471,0
6/299,12.8G,0.05171,0.01617,0,0.06788,149,640,0.7258,0.5519,0.6369,0.2699,0.06608,0.0234,0
7/299,12.8G,0.05045,0.01455,0,0.065,186,640,0.5529,0.717,0.6632,0.2819,0.06179,0.02256,0
8/299,12.8G,0.05109,0.01295,0,0.06404,210,640,0.5781,0.6132,0.5877,0.2189,0.06564,0.02174,0
9/299,12.8G,0.05472,0.01303,0,0.06775,181,640,0.5505,0.3066,0.348,0.1446,0.09998,0.01761,0
10/299,12.8G,0.05096,0.01198,0,0.06293,187,640,0.3446,0.3224,0.2486,0.09036,0.1051,0.01683,0
11/299,12.8G,0.05612,0.01231,0,0.06843,232,640,0.4996,0.5684,0.4719,0.208,0.08657,0.02,0
12/299,12.8G,0.05639,0.01182,0,0.06821,221,640,0.5624,0.6669,0.6319,0.2655,0.08612,0.01706,0
13/299,12.8G,0.05315,0.01143,0,0.06458,201,640,0.721,0.7192,0.7701,0.4002,0.07023,0.02009,0
14/299,12.8G,0.0587,0.01235,0,0.07106,208,640,0.2742,0.2241,0.2143,0.0751,0.09404,0.02275,0
15/299,12.8G,0.06315,0.01202,0,0.07517,203,640,0.6927,0.521,0.5913,0.2476,0.08543,0.01931,0
16/299,12.8G,0.05594,0.0127,0,0.06864,215,640,0.168,0.3302,0.1317,0.04543,0.08699,0.02517,0
17/299,12.8G,0.05715,0.01198,0,0.06913,210,640,0.7207,0.6392,0.7052,0.3208,0.07757,0.0211,0
18/299,12.8G,0.05761,0.01147,0,0.06909,209,640,0.7023,0.6085,0.6689,0.3132,0.07706,0.02405,0
19/299,12.8G,0.05392,0.01146,0,0.06538,230,640,0.4114,0.4458,0.3678,0.1556,0.07817,0.02339,0
20/299,12.8G,0.06324,0.01196,0,0.0752,205,640,0.4906,0.4198,0.3817,0.1317,0.08368,0.02334,0
21/299,12.8G,0.0636,0.01108,0,0.07468,176,640,0.6355,0.4974,0.4878,0.2131,0.07369,0.02438,0
22/299,12.8G,0.05775,0.01231,0,0.07006,204,640,0.3341,0.2736,0.2181,0.062,0.08584,0.03453,0
23/299,12.8G,0.06253,0.01197,0,0.07449,190,640,0.03376,0.1934,0.01767,0.004826,0.1004,0.02742,0
24/299,12.8G,0.06678,0.01149,0,0.07827,228,640,0.2761,0.3208,0.1825,0.06017,0.08847,0.02255,0
25/299,12.8G,0.06368,0.01051,0,0.07418,176,640,0.02968,0.4127,0.01963,0.007602,0.08004,0.04226,0
26/299,12.8G,0.0562,0.01106,0,0.06727,223,640,0.8362,0.6863,0.7836,0.3689,0.06791,0.02026,0
27/299,12.8G,0.05981,0.01047,0,0.07028,175,640,0.8479,0.8151,0.874,0.4754,0.06903,0.01851,0
28/299,12.8G,0.06019,0.01013,0,0.07032,227,640,0.8907,0.7877,0.8745,0.4371,0.07249,0.01778,0
29/299,12.8G,0.06295,0.01068,0,0.07364,229,640,0.8214,0.7377,0.8178,0.4236,0.07309,0.01927,0
30/299,12.8G,0.04777,0.01016,0,0.05793,197,640,0.6843,0.7261,0.6994,0.3659,0.07434,0.01966,0
31/299,12.8G,0.0578,0.01022,0,0.06802,176,640,0.844,0.7273,0.8458,0.4485,0.07149,0.0193,0
32/299,12.8G,0.05124,0.01129,0,0.06253,201,640,0.006517,0.07547,0.00136 0.0002559,0.09691,0.02868,0
