epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
0/299,17.4G,0.07068,0.0242,0,0.09488,164,640,0.005293,0.5542,0.003675,0.0005835,0.09579,0.0275,0
1/299,17.4G,0.06819,0.02001,0,0.0882,189,640,0.006239,0.2665,0.004658,0.0006822,0.08794,0.02736,0
2/299,17.4G,0.06616,0.0189,0,0.08506,202,640,0.006304,0.5377,0.004538,0.0007063,0.08947,0.02621,0
3/299,17.4G,0.06477,0.01767,0,0.08244,202,640,0.00626,0.533,0.004194,0.0005995,0.09002,0.02559,0
4/299,17.4G,0.06411,0.01828,0,0.08239,202,640,0.005369,0.5495,0.003576,0.0005563,0.0889,0.02548,0
5/299,17.4G,0.06352,0.01759,0,0.08111,208,640,0.005383,0.5637,0.00362,0.0005736,0.08987,0.02518,0
6/299,17.4G,0.06284,0.01749,0,0.08034,149,640,0.004035,0.4222,0.003157,0.0005413,0.08879,0.02524,0
7/299,17.4G,0.06154,0.01749,0,0.07903,186,640,0.005236,0.3066,0.00238,0.0004155,0.08946,0.02503,0
8/299,17.4G,0.06164,0.01737,0,0.07901,210,640,0.005994,0.3491,0.004727,0.000778,0.08911,0.02505,0
9/299,17.4G,0.06126,0.0181,0,0.07936,181,640,0.02902,0.009434,0.009364,0.00126,0.08919,0.02506,0
10/299,17.4G,0.06147,0.01687,0,0.07834,187,640,0.09197,0.04717,0.02017,0.003638,0.08751,0.0255,0
11/299,17.4G,0.061,0.0181,0,0.0791,232,640,0.0522,0.05896,0.0113,0.001926,0.08753,0.02564,0
12/299,17.4G,0.06098,0.01776,0,0.07873,221,640,0.04473,0.06604,0.01297,0.002375,0.08732,0.02563,0
13/299,17.4G,0.06024,0.0173,0,0.07755,201,640,0.06497,0.1085,0.02262,0.004087,0.08462,0.02631,0
14/299,17.4G,0.05866,0.01899,0,0.07765,208,640,0.1004,0.125,0.04498,0.007476,0.08024,0.02751,0
15/299,17.4G,0.05712,0.01794,0,0.07506,203,640,0.0704,0.1958,0.03817,0.00662,0.0795,0.02749,0
16/299,17.4G,0.0556,0.01874,0,0.07435,215,640,0.1435,0.184,0.06717,0.01273,0.07404,0.02824,0
17/299,17.4G,0.05569,0.01741,0,0.0731,210,640,0.1724,0.2217,0.09452,0.01734,0.07648,0.02741,0
18/299,17.4G,0.05648,0.01627,0,0.07275,209,640,0.2202,0.2642,0.1453,0.02944,0.07844,0.02628,0
19/299,17.4G,0.05685,0.01568,0,0.07253,230,640,0.1861,0.3042,0.1411,0.02573,0.07784,0.02494,0
20/299,17.4G,0.0577,0.01558,0,0.07328,205,640,0.3607,0.3302,0.2604,0.04978,0.08,0.02409,0
21/299,17.4G,0.05668,0.01465,0,0.07133,176,640,0.3156,0.3622,0.2529,0.05144,0.07579,0.025,0
22/299,17.4G,0.05683,0.01527,0,0.07211,204,640,0.09679,0.5873,0.08272,0.02041,0.08467,0.02838,0
23/299,17.4G,0.05718,0.01492,0,0.07209,190,640,0.152,0.4717,0.1137,0.02509,0.09093,0.03399,0
24/299,17.4G,0.05742,0.01458,0,0.072,228,640,0.4257,0.3811,0.303,0.07418,0.08015,0.02278,0
25/299,17.4G,0.05511,0.01344,0,0.06854,176,640,0.6422,0.3726,0.4246,0.1338,0.08013,0.02252,0
26/299,17.4G,0.05594,0.01399,0,0.06994,223,640,0.5187,0.4458,0.4508,0.1442,0.07075,0.02466,0
27/299,17.4G,0.05611,0.01338,0,0.06949,175,640,0.1324,0.5684,0.09546,0.02139,0.094,0.04428,0
28/299,17.4G,0.05612,0.0133,0,0.06942,227,640,0.175,0.533,0.1267,0.03496,0.08908,0.05173,0
29/299,17.4G,0.05557,0.01395,0,0.06952,229,640,0.3003,0.4811,0.2429,0.07683,0.08272,0.02421,0
30/299,17.4G,0.05411,0.0134,0,0.06751,197,640,0.2774,0.4788,0.28,0.0942,0.08108,0.02337,0
