epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
0/299,11.4G,0.07046,0.0251,0,0.09555,164,640,0.005428,0.5684,0.003395,0.0005448,0.09538,0.02744,0
1/299,10.9G,0.06735,0.0204,0,0.08775,189,640,0.00527,0.5519,0.003902,0.0007054,0.08882,0.0271,0
2/299,10.9G,0.06527,0.01922,0,0.08449,202,640,0.005541,0.5425,0.003949,0.000703,0.08925,0.02622,0
3/299,10.9G,0.06372,0.01804,0,0.08177,202,640,0.005228,0.3066,0.002647,0.0004971,0.08971,0.02572,0
4/299,10.9G,0.06338,0.01859,0,0.08197,202,640,0.005767,0.3255,0.003016,0.0005527,0.09082,0.02519,0
5/299,10.9G,0.06323,0.01768,0,0.08091,208,640,0.005861,0.5495,0.003758,0.00066,0.09192,0.02481,0
6/299,10.9G,0.06276,0.01741,0,0.08017,149,640,0.005228,0.3066,0.00209,0.0003525,0.09077,0.02487,0
7/299,10.9G,0.06117,0.0176,0,0.07877,186,640,0.005204,0.5448,0.003779,0.0006195,0.09045,0.02487,0
8/299,10.9G,0.06107,0.01765,0,0.07872,210,640,0.0222,0.009434,0.005436,0.0007947,0.09217,0.02436,0
9/299,10.9G,0.06044,0.01844,0,0.07888,181,640,0.02372,0.04953,0.0103,0.00327,0.09221,0.02423,0
10/299,10.9G,0.06099,0.01696,0,0.07795,187,640,0.02557,0.1675,0.01249,0.002236,0.0892,0.02527,0
11/299,10.9G,0.06014,0.01821,0,0.07835,232,640,0.03487,0.2712,0.02535,0.004472,0.08653,0.02586,0
12/299,10.9G,0.06015,0.0179,0,0.07805,221,640,0.04324,0.3726,0.02956,0.005197,0.08223,0.02703,0
13/299,10.9G,0.05973,0.01724,0,0.07697,201,640,0.04762,0.2783,0.0324,0.006056,0.08556,0.0258,0
14/299,10.9G,0.05935,0.01777,0,0.07712,208,640,0.0509,0.2712,0.03072,0.004968,0.08722,0.02508,0
15/299,10.9G,0.05943,0.0158,0,0.07523,203,640,0.1696,0.1981,0.0964,0.01857,0.0827,0.02541,0
16/299,10.9G,0.05969,0.01585,0,0.07554,215,640,0.1677,0.4953,0.1185,0.02644,0.08717,0.02419,0
17/299,10.9G,0.05991,0.01507,0,0.07498,210,640,0.3131,0.3827,0.2179,0.04672,0.08373,0.02384,0
18/299,10.9G,0.06012,0.01438,0,0.0745,209,640,0.3249,0.4033,0.2194,0.05141,0.08767,0.02232,0
19/299,10.9G,0.05792,0.01437,0,0.07229,230,640,0.1451,0.3349,0.09534,0.01763,0.08812,0.02453,0
20/299,10.9G,0.05977,0.01422,0,0.074,205,640,0.07971,0.4481,0.05833,0.01095,0.1031,0.04043,0
21/299,10.9G,0.05945,0.01355,0,0.073,176,640,0.06444,0.4623,0.04494,0.008109,0.1019,0.05471,0
22/299,10.9G,0.05928,0.01415,0,0.07343,204,640,0.02152,0.7453,0.01818,0.003696,0.09704,0.2876,0
23/299,10.9G,0.05875,0.01373,0,0.07248,190,640,0.04271,0.6722,0.03627,0.007936,0.09291,0.07066,0
24/299,10.9G,0.05956,0.01358,0,0.07313,228,640,0.2953,0.4646,0.2482,0.05775,0.09083,0.02221,0
25/299,10.9G,0.05831,0.01279,0,0.07109,176,640,0.4376,0.4316,0.3917,0.1184,0.08203,0.02224,0
26/299,10.9G,0.05838,0.01323,0,0.07161,223,640,0.3149,0.3774,0.2322,0.05191,0.08991,0.02185,0
27/299,10.9G,0.05866,0.01266,0,0.07131,175,640,0.3083,0.4151,0.2209,0.05297,0.08531,0.02375,0
28/299,10.9G,0.05824,0.01288,0,0.07112,227,640,0.1692,0.3679,0.1198,0.02789,0.09531,0.02161,0
29/299,10.9G,0.05955,0.01411,0,0.07366,229,640,0.0889,0.3514,0.06425,0.01219,0.09596,0.02145,0
