                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5978,                 2.4339,                 1.6705,                0.03321,                0.41779,                0.02173,                0.00782,                 2.4425,                    nan,                 7.0061,                 0.0006,                 0.0006,                 0.0006
                      2,                 1.7496,                 1.8505,                 1.7731,                0.00415,                  0.294,                0.00271,                0.00072,                    nan,                    nan,                    nan,               0.001216,               0.001216,               0.001216
                      3,                 1.7183,                 1.7403,                 1.7459,                0.00482,                0.11799,                0.00284,                0.00116,                 4.7574,                    inf,                 183.88,              0.0018279,              0.0018279,              0.0018279
                      4,                  1.671,                 1.6874,                  1.692,                0.03354,                0.13443,                0.01167,                  0.003,                 4.3362,                  177.8,                 77.929,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.5696,                 1.5016,                 1.5944,                0.00636,                 0.2795,                0.00416,                 0.0013,                 4.0059,                    inf,                 18.365,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.5601,                 1.4299,                 1.5797,                0.21592,                0.39362,                0.10815,                0.03893,                 2.3112,                  22.52,                  4.435,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.5267,                 1.3336,                 1.5719,                0.45421,                0.39362,                0.36139,                0.13977,                 2.1294,                 6.3807,                 2.3123,               0.001967,               0.001967,               0.001967
                      8,                 1.4805,                 1.2782,                  1.548,                0.35586,                0.43617,                 0.3371,                0.17189,                  1.722,                 5.6266,                 2.1862,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.4552,                  1.257,                 1.5313,                0.22028,                0.27563,                0.11152,                0.03705,                 2.4721,                  5.348,                 2.4529,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.3966,                 1.1724,                 1.4847,                0.63772,                0.48162,                0.58204,                0.30677,                 1.6909,                 1.9064,                 1.7621,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.3594,                 1.1208,                 1.4517,                0.77558,                0.41973,                0.52796,                 0.2823,                 1.7212,                 1.7933,                 1.8873,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.3526,                 1.0784,                 1.4244,                0.62288,                0.52611,                 0.5643,                0.31488,                 1.6005,                 1.8262,                 1.7007,               0.001934,               0.001934,               0.001934
                     13,                 1.3409,                 1.0476,                 1.4288,                 0.7102,                0.58704,                0.66579,                0.34195,                 1.7328,                 1.7912,                  1.833,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.3466,                 1.0835,                  1.419,                 0.5733,                0.32882,                0.28544,                0.14394,                 1.8215,                 2.8329,                 1.9149,              0.0019208,              0.0019208,              0.0019208
