                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.499,                 2.4333,                 1.4405,                 0.7575,                0.11315,                  0.182,                0.09008,                 1.6505,                 2.7843,                 1.3499,                 0.0006,                 0.0006,                 0.0006
                      2,                 1.3639,                 1.6893,                 1.2814,                0.53349,                0.19826,                0.22463,                 0.1078,                 1.7776,                  2.642,                 1.6124,               0.001216,               0.001216,               0.001216
                      3,                 1.3765,                 1.5466,                 1.2929,                0.27043,                0.55803,                0.25335,                 0.1177,                 1.8327,                 4.0465,                 1.8101,              0.0018279,              0.0018279,              0.0018279
                      4,                 1.3651,                 1.4877,                 1.3078,                0.53864,                 0.3675,                 0.4522,                0.24943,                 1.6455,                 2.6266,                 1.6185,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.3564,                 1.3683,                 1.2774,                0.60888,                0.31625,                0.38509,                0.19176,                 1.8861,                 2.5699,                 1.8685,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.3731,                 1.2828,                 1.2894,                0.50692,                0.43647,                0.47842,                  0.264,                  1.595,                 1.9058,                  1.504,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.3424,                 1.2239,                  1.269,                 0.7602,                0.40619,                0.51845,                0.28479,                 1.5541,                 1.7308,                 1.4676,               0.001967,               0.001967,               0.001967
                      8,                 1.2799,                  1.122,                 1.2609,                0.61111,                0.37814,                  0.444,                0.22664,                 1.6267,                 2.1302,                 1.4656,              0.0019604,              0.0019604,              0.0019604
                      9,                    1.3,                 1.0697,                 1.2626,                 0.8882,                0.36364,                0.56495,                 0.2899,                 1.6847,                 1.6102,                 1.4666,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.2603,                 1.0618,                 1.2275,                0.78783,                0.37331,                0.51019,                0.28243,                 1.6743,                 1.7569,                 1.6552,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.2389,                 1.0197,                 1.2008,                0.64701,                 0.6441,                0.68312,                0.37718,                 1.5579,                  1.216,                  1.423,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.2281,                0.97333,                 1.2144,                0.49121,                0.57544,                0.57764,                0.32865,                 1.6239,                 1.3705,                 1.4473,               0.001934,               0.001934,               0.001934
                     13,                 1.2389,                0.96882,                  1.223,                0.76139,                0.47582,                0.62452,                0.35021,                 1.5368,                 1.2555,                 1.4349,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.2036,                0.92804,                 1.1968,                0.70345,                0.49903,                0.60779,                0.34138,                 1.6221,                 1.2956,                 1.5027,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.2127,                0.93077,                  1.205,                 0.6373,                0.59815,                0.61488,                0.30967,                 1.7128,                 1.4085,                 1.4544,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.1979,                 0.9233,                 1.1937,                0.62419,                0.61605,                0.64232,                0.37576,                 1.4534,                 1.2282,                 1.3551,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.1825,                0.89821,                 1.1966,                0.62503,                0.48453,                0.57746,                0.31756,                 1.6584,                 1.4479,                 1.5188,               0.001901,               0.001901,               0.001901
                     18,                 1.2094,                0.92435,                  1.203,                0.66397,                0.58221,                0.63534,                0.34954,                 1.5198,                 1.3447,                   1.35,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.1772,                0.85163,                 1.1808,                0.77067,                0.37701,                0.51304,                0.28483,                 1.6832,                 1.6315,                 1.4588,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.1922,                0.86354,                 1.2046,                0.56995,                0.50967,                0.55607,                0.33562,                 1.5472,                 1.4669,                 1.4261,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.1257,                0.81008,                 1.1565,                0.66954,                0.58197,                0.66426,                  0.366,                 1.5695,                  1.198,                 1.3699,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.1582,                0.85713,                 1.1822,                0.69785,                0.57404,                0.67674,                0.37889,                 1.5827,                 1.1772,                 1.3862,               0.001868,               0.001868,               0.001868
                     23,                 1.1706,                0.85462,                 1.1875,                 0.6761,                0.69729,                0.73126,                 0.3984,                 1.5504,                  1.126,                 1.3975,              0.0018614,              0.0018614,              0.0018614
                     24,                  1.171,                0.86008,                 1.1749,                0.70651,                 0.6286,                0.66961,                0.35175,                 1.7042,                  1.236,                 1.5034,              0.0018548,              0.0018548,              0.0018548
                     25,                  1.148,                0.82617,                 1.1759,                0.60583,                0.65764,                0.67151,                0.36746,                 1.5523,                 1.2359,                 1.3693,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.1812,                0.86187,                 1.2102,                0.66254,                0.63039,                0.66349,                0.38781,                  1.496,                 1.1412,                 1.3852,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.1403,                0.84638,                 1.1658,                0.75565,                 0.5619,                0.63965,                0.37397,                  1.532,                 1.3571,                 1.4307,               0.001835,               0.001835,               0.001835
                     28,                 1.1479,                0.82462,                 1.1816,                0.74585,                0.56286,                0.69528,                0.38188,                 1.5844,                 1.2223,                  1.437,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.1124,                0.81432,                 1.1759,                0.58659,                 0.5793,                0.62537,                0.35704,                 1.5026,                 1.2768,                 1.3654,              0.0018218,              0.0018218,              0.0018218
                     30,                  1.155,                0.80434,                 1.1831,                0.61232,                0.44757,                0.55364,                0.34559,                 1.4327,                 1.4095,                 1.3568,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.1402,                0.81496,                 1.1767,                0.62985,                0.65184,                0.66668,                0.37575,                 1.5424,                 1.1784,                 1.3895,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.1309,                0.79157,                 1.1597,                0.62341,                0.58317,                0.66746,                0.36784,                 1.6152,                 1.1584,                 1.4031,               0.001802,               0.001802,               0.001802
                     33,                 1.0849,                0.75798,                 1.1301,                0.57182,                 0.5619,                0.62012,                0.36338,                 1.5144,                 1.3546,                 1.3816,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.1039,                0.78037,                 1.1546,                0.71272,                0.57737,                0.67977,                0.39456,                 1.4008,                 1.0737,                 1.3076,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.0944,                0.74756,                 1.1301,                0.61792,                0.59574,                0.66616,                0.38473,                 1.4706,                 1.1569,                 1.3861,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.1172,                0.75943,                 1.1601,                0.75237,                0.51547,                0.63556,                0.34835,                   1.62,                  1.374,                 1.5001,              0.0017756,              0.0017756,              0.0017756
                     37,                  1.094,                0.75376,                 1.1594,                 0.6851,                0.61122,                0.66617,                0.36148,                 1.5869,                 1.1571,                  1.465,               0.001769,               0.001769,               0.001769
                     38,                 1.1118,                0.76867,                 1.1476,                0.54025,                0.59778,                0.62353,                0.34496,                 1.5624,                 1.2844,                  1.428,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.0958,                0.74903,                 1.1412,                0.58456,                 0.6325,                0.65915,                 0.3948,                 1.4538,                  1.218,                 1.3458,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.0882,                0.74459,                 1.1474,                0.56815,                0.63443,                0.66799,                0.38294,                 1.5217,                 1.2288,                 1.3962,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.0638,                0.71735,                 1.1284,                0.60696,                0.63346,                0.70157,                0.37931,                 1.5378,                 1.1396,                 1.3806,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.0752,                0.70494,                 1.1367,                0.68822,                0.67461,                0.68701,                0.38629,                 1.5573,                 1.1362,                 1.4105,               0.001736,               0.001736,               0.001736
                     43,                 1.0606,                0.70991,                 1.1294,                0.63351,                0.62357,                0.65561,                 0.3578,                 1.5611,                 1.1975,                 1.4084,              0.0017294,              0.0017294,              0.0017294
                     44,                  1.094,                0.73287,                 1.1431,                0.69426,                0.53675,                0.67392,                0.36867,                 1.5616,                 1.1539,                 1.3651,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.0545,                0.70929,                 1.1187,                0.74429,                0.53772,                 0.6391,                0.37174,                 1.5791,                 1.2557,                  1.426,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.0865,                0.72707,                 1.1341,                0.75756,                0.59478,                 0.6812,                0.38668,                 1.5769,                 1.1538,                  1.418,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.0409,                0.71275,                 1.1226,                0.63872,                0.60735,                0.61872,                0.36011,                 1.6202,                 1.4301,                 1.5087,               0.001703,               0.001703,               0.001703
                     48,                 1.0694,                0.72186,                 1.1481,                0.62916,                0.66151,                0.67096,                0.37284,                 1.6144,                 1.0935,                 1.4442,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.0626,                0.73524,                 1.1424,                0.65298,                0.60155,                0.65122,                0.34766,                 1.6223,                 1.2295,                 1.4375,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.0456,                0.70478,                 1.1308,                0.60697,                0.63626,                0.64643,                0.37434,                 1.5843,                 1.1461,                 1.4205,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.0562,                0.70022,                 1.1325,                0.79205,                0.39652,                0.55636,                0.33286,                  1.497,                 1.3416,                 1.3669,              0.0016766,              0.0016766,              0.0016766
                     52,                  1.031,                0.68811,                 1.1137,                0.74078,                0.54932,                0.67897,                0.38809,                 1.5463,                 1.1939,                 1.3712,                0.00167,                0.00167,                0.00167
                     53,                 1.0257,                 0.6602,                 1.1121,                0.71493,                0.59091,                0.68186,                0.39609,                 1.5047,                 1.2016,                 1.4012,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.0504,                0.70373,                  1.126,                0.70253,                0.71491,                0.74934,                0.42053,                 1.5328,                 1.0664,                 1.3585,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.0494,                0.70782,                 1.1204,                0.71046,                0.64894,                0.68309,                0.38274,                 1.5936,                 1.0835,                 1.4445,              0.0016502,              0.0016502,              0.0016502
                     56,                  1.047,                 0.6998,                 1.1335,                0.67209,                0.59091,                0.63135,                 0.3468,                 1.5902,                  1.374,                 1.4703,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.0249,                0.67912,                 1.1134,                0.85198,                0.52998,                0.67003,                0.38155,                 1.5437,                 1.3279,                 1.4342,               0.001637,               0.001637,               0.001637
                     58,                 1.0485,                0.70397,                 1.1367,                0.69961,                0.56867,                0.66441,                0.36536,                 1.5503,                 1.2302,                 1.4436,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.0604,                0.68234,                 1.1411,                0.63577,                0.40426,                0.54479,                0.32436,                 1.5297,                 1.5143,                 1.4013,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.0429,                0.67601,                 1.1218,                0.67061,                0.67021,                0.72831,                  0.412,                 1.4636,                 1.0767,                 1.3661,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.0108,                0.67611,                 1.1128,                0.64414,                0.66871,                0.70148,                0.40612,                 1.4661,                 1.2209,                 1.3349,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.0427,                0.66963,                 1.1134,                0.71919,                0.66441,                 0.7274,                0.39547,                 1.4686,                 1.0131,                 1.3593,               0.001604,               0.001604,               0.001604
                     63,                 1.0382,                0.67311,                 1.1178,                0.69007,                0.66537,                0.69239,                0.40871,                 1.4949,                 1.0916,                 1.3437,              0.0015974,              0.0015974,              0.0015974
