                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3471,                 3.5796,                 4.1101,                0.00312,                0.20309,                0.00282,                0.00118,                 4.0594,                 3.8542,                 4.2189,                 0.0006,                 0.0006,                 0.0006
                      2,                 2.8595,                 2.9219,                 3.5641,                0.01131,                0.16828,                0.00593,                0.00236,                  3.633,                    inf,                 17.154,               0.001216,               0.001216,               0.001216
                      3,                 2.6861,                  2.663,                 3.1399,                0.01047,                0.56576,                0.00855,                0.00274,                 3.3955,                    inf,                 23.253,              0.0018279,              0.0018279,              0.0018279
                      4,                  2.483,                 2.4753,                 2.8848,                0.01007,                0.66054,                0.00841,                0.00337,                 2.5808,                    inf,                 11.321,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.3255,                 2.3136,                 2.6885,                0.13541,                0.38878,                0.08643,                0.03001,                 2.6298,                 14.741,                  4.031,              0.0019802,              0.0019802,              0.0019802
                      6,                  2.251,                 2.1758,                 2.5894,                 0.0644,                0.32592,                0.05154,                0.01321,                 3.2174,                 31.156,                 5.1185,              0.0019736,              0.0019736,              0.0019736
                      7,                 2.1839,                 2.1209,                 2.5084,                 0.2712,                0.45261,                 0.3021,                0.11025,                 2.3176,                 2.6879,                 2.6708,               0.001967,               0.001967,               0.001967
                      8,                 2.0806,                 2.0097,                 2.4244,                0.39846,                0.34139,                0.29971,                0.12989,                 2.2675,                 2.1395,                 2.5767,              0.0019604,              0.0019604,              0.0019604
                      9,                 2.0002,                 1.8677,                 2.3514,                0.66709,                0.29691,                0.39529,                0.15342,                 2.1499,                 2.3901,                 2.5637,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.8861,                 1.8197,                 2.2484,                0.39302,                0.43617,                0.40025,                0.16272,                 2.1052,                 1.8608,                 2.5242,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.8494,                 1.7526,                 2.1908,                0.57013,                0.30851,                0.33064,                0.14965,                 2.0915,                 2.1542,                 2.4748,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.8009,                 1.6834,                   2.13,                0.51318,                0.36074,                0.35153,                 0.1637,                 1.9125,                 2.1561,                 2.3403,               0.001934,               0.001934,               0.001934
                     13,                 1.7654,                 1.5755,                 2.0831,                0.25387,                  0.647,                0.35641,                0.13093,                 2.2388,                 2.8478,                 2.6834,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.7727,                 1.6299,                  2.085,                0.38674,                0.37911,                0.36465,                0.14795,                 2.2288,                 2.0341,                 2.5048,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.7107,                 1.6027,                 2.0304,                0.45067,                0.52321,                0.47617,                0.22369,                 1.9243,                 1.8562,                 2.3218,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.6717,                  1.528,                 1.9971,                0.49051,                0.45648,                0.45526,                0.22114,                 1.8702,                 1.7102,                 2.2156,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.6536,                 1.5083,                 1.9764,                0.65874,                0.32592,                0.45885,                0.23286,                 1.9862,                  2.142,                 2.4123,               0.001901,               0.001901,               0.001901
                     18,                 1.6527,                 1.4639,                 1.9796,                0.59535,                0.44874,                0.49103,                0.22859,                 1.9512,                 1.7389,                 2.2704,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.6287,                 1.4492,                 1.9647,                0.68199,                0.31528,                 0.4321,                0.21582,                  2.018,                 1.8637,                 2.3004,              0.0018878,              0.0018878,              0.0018878
                     20,                  1.613,                 1.4669,                 1.9428,                0.48074,                0.47776,                 0.4932,                0.26038,                 1.7676,                 1.6512,                 2.1174,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.5286,                 1.3386,                 1.8712,                0.88518,                0.35203,                0.53964,                0.27767,                 1.8471,                 1.6852,                 2.2149,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.5557,                 1.3843,                 1.9044,                 0.3961,                0.52523,                0.44859,                0.23271,                 1.7634,                  1.778,                 2.0743,               0.001868,               0.001868,               0.001868
                     23,                 1.5739,                  1.395,                 1.9025,                 0.5383,                0.52901,                0.53262,                0.26129,                  1.877,                 1.6333,                 2.2188,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.5857,                 1.3924,                 1.9088,                0.73161,                0.38975,                  0.495,                0.24669,                 1.8264,                 1.6373,                 2.1828,              0.0018548,              0.0018548,              0.0018548
                     25,                  1.545,                 1.3203,                 1.8649,                 0.7436,                0.38298,                0.51667,                 0.2738,                 1.7069,                 1.7801,                 2.0847,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.5226,                 1.3153,                 1.8692,                0.51496,                0.52031,                0.49381,                0.26486,                 1.7781,                 1.6006,                 2.1231,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.4924,                 1.2811,                 1.8123,                0.46245,                0.49516,                 0.5086,                0.27984,                 1.8368,                 1.5658,                 2.1333,               0.001835,               0.001835,               0.001835
                     28,                 1.4872,                 1.2831,                 1.8201,                0.42658,                0.47195,                 0.4906,                0.24968,                 1.9052,                 1.6913,                 2.2449,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.4486,                 1.2283,                  1.789,                0.45206,                0.48162,                0.49318,                0.27671,                 1.6585,                 1.5975,                 1.9639,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.4449,                 1.2275,                 1.7717,                0.50406,                0.55513,                0.48585,                0.26221,                 1.7183,                 1.5647,                 2.0541,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.4284,                 1.1796,                 1.7382,                0.72629,                0.53379,                0.60467,                0.30483,                 1.8212,                 1.6909,                 2.0963,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.4366,                 1.1662,                  1.749,                0.64191,                0.55222,                0.55467,                0.28951,                 1.7744,                 1.5289,                 2.0539,               0.001802,               0.001802,               0.001802
                     33,                 1.3864,                 1.1261,                 1.6993,                0.55087,                0.52192,                0.53116,                0.29792,                 1.7078,                 1.5528,                 2.0857,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.3994,                 1.1611,                 1.7325,                0.68023,                0.38471,                0.51294,                 0.2879,                  1.719,                 1.6365,                  2.044,              0.0017888,              0.0017888,              0.0017888
                     35,                  1.377,                  1.149,                 1.6816,                0.51421,                0.58221,                0.56807,                0.28088,                  1.763,                 1.4366,                 2.1189,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.3967,                 1.1075,                 1.6994,                0.58874,                0.47099,                0.50315,                0.26567,                  1.748,                  1.721,                 1.9654,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.3438,                 1.1074,                 1.6811,                 0.6084,                0.55706,                0.55852,                0.29842,                 1.6491,                 1.5043,                 1.9981,               0.001769,               0.001769,               0.001769
                     38,                 1.3812,                 1.1345,                 1.7012,                0.79219,                0.48356,                0.62494,                0.33937,                 1.7329,                 1.4181,                 2.1089,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.3583,                 1.0826,                 1.6674,                0.57473,                0.54836,                0.56737,                0.29102,                 1.6824,                 1.4887,                 2.0137,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.3657,                 1.0683,                 1.6677,                0.53729,                0.53675,                0.57782,                0.30762,                 1.7247,                 1.5255,                 1.9589,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.3112,                 1.0383,                 1.6186,                0.60891,                0.56917,                 0.6145,                0.32898,                 1.7676,                 1.5474,                 2.0337,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.3453,                 1.0338,                 1.6692,                0.48149,                0.52128,                0.52306,                0.26523,                 1.7804,                 1.5017,                 2.1074,               0.001736,               0.001736,               0.001736
                     43,                  1.302,                  1.022,                 1.6255,                0.55082,                0.55706,                0.58494,                0.32188,                  1.667,                 1.4378,                 2.0195,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.3582,                 1.0981,                 1.6717,                0.62466,                0.49896,                0.54336,                0.29837,                 1.6884,                 1.5012,                 1.9785,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.3235,                 1.0427,                 1.6276,                0.56232,                0.56576,                0.56695,                0.28172,                  1.813,                 1.5071,                 2.1892,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.2892,                 1.0273,                 1.5994,                0.67496,                0.43177,                0.55518,                0.30829,                 1.7131,                 1.8219,                 1.9746,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.3214,                 1.0234,                 1.6453,                0.67037,                0.44254,                 0.5511,                0.30386,                 1.6999,                 1.5088,                 1.9517,               0.001703,               0.001703,               0.001703
                     48,                 1.3076,                 1.0196,                 1.6273,                0.64558,                0.58704,                0.66489,                0.36529,                  1.612,                 1.2729,                 1.8896,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.3108,                 1.0312,                 1.6267,                0.67339,                0.54235,                0.62792,                0.35766,                 1.6093,                 1.4036,                 1.9168,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.2912,                 1.0116,                 1.6038,                0.57657,                0.59865,                0.61349,                0.33925,                 1.6194,                 1.3094,                 1.9412,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.2908,                 0.9983,                 1.6017,                0.66835,                0.44971,                0.54109,                0.28486,                 1.7457,                 1.7338,                 1.9315,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.2904,                 1.0028,                 1.6085,                0.67743,                0.63733,                0.66543,                0.35839,                 1.6959,                 1.3844,                 2.0322,                0.00167,                0.00167,                0.00167
                     53,                 1.2539,                 0.9509,                  1.579,                0.56758,                0.49903,                0.55291,                0.31071,                 1.6309,                 1.5964,                 1.9125,              0.0016634,              0.0016634,              0.0016634
                     54,                  1.297,                 1.0098,                 1.6052,                0.48465,                0.61122,                0.57132,                  0.315,                 1.6107,                 1.3726,                  1.916,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.2731,                0.99312,                 1.5737,                0.59512,                0.52597,                0.57281,                0.31268,                 1.6571,                 1.3766,                 1.9101,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.2621,                 1.0092,                 1.5993,                0.62637,                0.52708,                0.59592,                0.30323,                 1.6973,                 1.4753,                 1.9609,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.2317,                0.95448,                 1.5445,                0.70632,                0.59381,                0.65791,                0.35055,                 1.6347,                 1.2639,                 1.9135,               0.001637,               0.001637,               0.001637
                     58,                 1.2374,                0.95238,                 1.5648,                0.81506,                0.49226,                0.65977,                0.34774,                 1.7158,                 1.3076,                 1.9555,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.2376,                0.94152,                 1.5699,                0.65883,                0.55706,                0.64066,                0.36307,                 1.5583,                 1.2637,                 1.8013,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.2563,                0.92212,                 1.5543,                0.77589,                0.52515,                0.66389,                0.37833,                 1.5641,                 1.4143,                 1.8384,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.2432,                0.95816,                 1.5518,                0.60567,                0.45454,                0.55349,                0.30429,                  1.716,                 1.6732,                 1.9895,              0.0016106,              0.0016106,              0.0016106
                     62,                  1.235,                0.91286,                 1.5286,                0.81457,                0.56383,                0.67885,                0.35462,                 1.6972,                 1.2819,                 1.9652,               0.001604,               0.001604,               0.001604
                     63,                  1.245,                0.92054,                 1.5617,                0.68696,                0.52418,                0.65295,                0.35085,                 1.5638,                  1.285,                 1.8291,              0.0015974,              0.0015974,              0.0015974
                     64,                  1.242,                0.92633,                 1.5494,                0.47547,                0.52708,                0.55332,                0.30447,                 1.6024,                 1.4498,                 1.8255,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.2283,                0.90066,                 1.5228,                0.80333,                0.48356,                0.64201,                0.35682,                 1.6102,                 1.3435,                 1.8341,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.2386,                 0.9477,                 1.5445,                0.64489,                0.66248,                0.67506,                0.35666,                 1.6005,                 1.2584,                 1.8359,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.2236,                0.88996,                  1.524,                0.68037,                0.53772,                0.62629,                0.34894,                 1.5937,                 1.3452,                  1.865,               0.001571,               0.001571,               0.001571
                     68,                 1.2213,                0.87203,                 1.5244,                0.66427,                0.61412,                0.67472,                 0.3584,                 1.5634,                  1.355,                 1.8086,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.2117,                0.92007,                 1.5366,                0.74991,                0.56549,                 0.6524,                0.36028,                  1.573,                 1.2149,                 1.8727,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.1937,                0.88702,                 1.5144,                0.58476,                0.61509,                0.65277,                0.34842,                 1.6212,                 1.2849,                 1.8957,              0.0015512,              0.0015512,              0.0015512
