epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
0/299,10G,0.06922,0.01627,0,0.08549,27,640,0.02435,0.05319,0.006,0.0009199,0.1036,0.0271,0
1/299,12.8G,0.06338,0.01415,0,0.07753,50,640,0.01407,0.1402,0.006767,0.001157,0.09122,0.02892,0
2/299,12.8G,0.05858,0.01355,0,0.07213,47,640,0.02126,0.1431,0.0107,0.002057,0.08442,0.02918,0
3/299,12.8G,0.05342,0.0127,0,0.06612,39,640,0.03071,0.1934,0.01328,0.002704,0.08044,0.03,0
4/299,12.8G,0.04971,0.01269,0,0.06241,57,640,0.06248,0.1015,0.01249,0.002917,0.07962,0.03222,0
5/299,12.8G,0.04724,0.01217,0,0.05941,39,640,0.5391,0.1789,0.1801,0.05558,0.07449,0.03243,0
6/299,12.8G,0.04502,0.01126,0,0.05628,47,640,0.6093,0.4071,0.3848,0.117,0.07359,0.02986,0
7/299,12.8G,0.0435,0.01057,0,0.05407,48,640,0.5802,0.3646,0.3945,0.08605,0.07581,0.02891,0
8/299,12.8G,0.04259,0.009976,0,0.05257,47,640,0.4258,0.4478,0.388,0.1062,0.07815,0.02756,0
9/299,12.8G,0.04208,0.009571,0,0.05165,32,640,0.6754,0.5494,0.6422,0.2816,0.07786,0.02893,0
10/299,12.8G,0.04393,0.008857,0,0.05278,43,640,0.5496,0.2602,0.3228,0.1136,0.08335,0.02875,0
11/299,12.8G,0.04505,0.009136,0,0.05418,45,640,0.0607,0.01934,0.01009,0.002904,0.1074,0.02736,0
12/299,12.8G,0.05165,0.00959,0,0.06124,42,640,0.06005,0.2224,0.0284,0.004937,0.1095,0.02626,0
13/299,12.8G,0.0507,0.009068,0,0.05977,35,640,0.0007526,0.008704,2.256e-05,6.142e-06,nan,nan,0
14/299,12.8G,0.06508,0.009241,0,0.07432,48,640,0,0,0,0,nan,nan,0
15/299,12.8G,0.06836,0.009516,0,0.07787,51,640,0,0,0,0,nan,nan,0
16/299,12.8G,0.0652,0.008628,0,0.07383,42,640,0,0,0,0,nan,nan,0
17/299,12.8G,0.06284,0.008929,0,0.07177,39,640,0.0004136,0.00677,5.1e-06,1.066e-06,nan,nan,0
18/299,12.8G,0.06167,0.008863,0,0.07054,23,640,0,0,0,0,0.1442,0.5388,0
19/299,12.8G,0.0633,0.009282,0,0.07258,59,640,0.0214,0.03191,0.004484,0.002334,0.1362,0.07223,0
20/299,12.8G,0.06171,0.009033,0,0.07075,45,640,0.01892,0.1721,0.01186,0.004057,0.1056,0.02845,0
21/299,12.8G,0.06236,0.008394,0,0.07075,27,640,0.01598,0.1547,0.004806,0.001568,0.1073,0.02631,0
22/299,12.8G,0.06116,0.009224,0,0.07038,43,640,0.01205,0.1538,0.003419,0.0006851,0.1052,0.02781,0
23/299,12.8G,0.0594,0.009316,0,0.06871,47,640,0.01244,0.117,0.004647,0.000677,0.1028,0.02864,0
24/299,12.8G,0.06021,0.009637,0,0.06984,50,640,0.03925,0.1596,0.01169,0.002116,0.09981,0.02968,0
25/299,12.8G,0.05834,0.009766,0,0.0681,63,640,0.01135,0.1886,0.01109,0.001565,0.1036,0.02736,0
26/299,12.8G,0.05629,0.00967,0,0.06596,51,640,0.1372,0.1876,0.04061,0.007492,0.1074,0.02502,0
27/299,12.8G,0.05521,0.009547,0,0.06476,37,640,0.1724,0.1867,0.05778,0.01268,0.1046,0.02673,0
28/299,12.8G,0.05556,0.009413,0,0.06497,63,640,0.1943,0.1954,0.06294,0.01399,0.103,0.02771,0
29/299,12.8G,0.0569,0.00914,0,0.06604,37,640,0.141,0.2215,0.062,0.01385,0.09715,0.02871,0
30/299,12.8G,0.05942,0.009587,0,0.06901,44,640,0.06233,0.1286,0.01468,0.002327,0.1221,0.02041,0
31/299,12.8G,0.05586,0.009137,0,0.065,42,640,0.1436,0.1547,0.03672,0.007333,0.09531,0.03172,0
32/299,12.8G,0.05607,0.008957,0,0.06503,45,640,0.1826,0.2031,0.08611,0.02042,0.09445,0.02945,0
33/299,12.8G,0.05728,0.008539,0,0.06582,37,640,0.1428,0.2234,0.08003,0.01632,0.08868,0.03018,0
34/299,12.8G,0.05456,0.008661,0,0.06322,46,640,0.2831,0.2282,0.1298,0.023,0.08358,0.02969,0
35/299,12.8G,0.05488,0.008985,0,0.06387,41,640,0.2122,0.1857,0.1134,0.01787,0.083,0.02793,0
36/299,12.8G,0.0546,0.008412,0,0.06301,38,640,0.2185,0.2369,0.1419,0.02977,0.08022,0.02872,0
37/299,12.8G,0.05509,0.0087,0,0.06379,36,640,0.3445,0.1741,0.1532,0.02758,0.07688,0.03107,0
38/299,12.8G,0.05365,0.008629,0,0.06228,52,640,0.2011,0.2041,0.1214,0.02205,0.08476,0.02693,0
39/299,12.8G,0.05202,0.008591,0,0.06061,46,640,0.3798,0.1557,0.1681,0.03308,0.08881,0.02564,0
40/299,12.8G,0.05227,0.009012,0,0.06128,51,640,0.4321,0.1567,0.1767,0.03388,0.08611,0.02488,0
41/299,12.8G,0.05233,0.008389,0,0.06072,51,640,0.3739,0.1912,0.1884,0.04948,0.07777,0.02865,0
42/299,12.8G,0.0521,0.008625,0,0.06073,50,640,0.2855,0.2224,0.1812,0.04096,0.0791,0.02866,0
43/299,12.8G,0.05217,0.008215,0,0.06038,50,640,0.4448,0.1805,0.198,0.05498,0.07775,0.03032,0
44/299,12.8G,0.05025,0.008295,0,0.05854,33,640,0.2468,0.3646,0.2027,0.05279,0.07738,0.02831,0
45/299,12.8G,0.05144,0.008664,0,0.0601,63,640,0.2002,0.4014,0.1734,0.04177,0.07351,0.03014,0
46/299,12.8G,0.05028,0.008333,0,0.05862,39,640,0.2852,0.3859,0.228,0.05719,0.0795,0.02763,0
47/299,12.8G,0.05145,0.008284,0,0.05974,39,640,0.2493,0.5967,0.2162,0.04824,0.0844,0.02578,0
48/299,12.8G,0.05057,0.007959,0,0.05853,47,640,0.3739,0.3994,0.2924,0.07402,0.07864,0.02678,0
49/299,12.8G,0.05046,0.007586,0,0.05804,33,640,0.3662,0.3588,0.2766,0.06709,0.07976,0.02511,0
50/299,12.8G,0.05245,0.007715,0,0.06017,61,640,0.4057,0.4362,0.3132,0.08322,0.07873,0.02761,0
51/299,12.8G,0.0504,0.007615,0,0.05801,36,640,0.252,0.3897,0.2724,0.07832,0.07551,0.03085,0
52/299,12.8G,0.04937,0.008008,0,0.05738,33,640,0.02712,0.5754,0.02183,0.004845,0.1014,0.04581,0
53/299,12.8G,0.04944,0.008023,0,0.05746,46,640,0.2707,0.4632,0.2003,0.05144,0.1036,0.02691,0
54/299,12.8G,0.05057,0.007961,0,0.05853,44,640,0.439,0.4342,0.3795,0.119,0.0738,0.02932,0
55/299,12.8G,0.04786,0.008126,0,0.05598,38,640,0.2049,0.2814,0.1238,0.02659,0.09765,0.02795,0
56/299,12.8G,0.04738,0.007672,0,0.05505,50,640,0.3127,0.4511,0.2825,0.07998,0.0746,0.03247,0
57/299,12.8G,0.04776,0.007754,0,0.05551,45,640,0.3082,0.4489,0.2523,0.08666,0.07718,0.03265,0
58/299,12.8G,0.04598,0.007609,0,0.05359,42,640,0.343,0.3104,0.2696,0.09726,0.07816,0.02989,0
59/299,12.8G,0.05008,0.007538,0,0.05762,45,640,0.1882,0.3008,0.1152,0.0235,0.09734,0.02509,0
60/299,12.8G,0.05246,0.007886,0,0.06034,57,640,0.3025,0.5174,0.3357,0.1224,0.08517,0.02627,0
61/299,12.8G,0.04758,0.007513,0,0.05509,44,640,0.1826,0.1721,0.107,0.0334,0.1068,0.02682,0
62/299,12.8G,0.05101,0.008027,0,0.05904,55,640,0.06479,0.07658,0.0155,0.002861,0.09968,0.02917,0
63/299,12.8G,0.05021,0.007203,0,0.05741,37,640,0.1495,0.234,0.09222,0.02421,0.09117,0.03009,0
64/299,12.8G,0.04961,0.007313,0,0.05693,39,640,0.3076,0.2338,0.1621,0.03956,0.09276,0.02949,0
65/299,12.8G,0.05,0.007514,0,0.05751,57,640,0.2937,0.324,0.2838,0.1063,0.08123,0.02913,0
66/299,12.8G,0.04885,0.007621,0,0.05647,51,640,0.3609,0.3944,0.3466,0.1215,0.07777,0.02954,0
67/299,12.8G,0.04665,0.007879,0,0.05453,42,640,0.2875,0.5242,0.3268,0.1168,0.07511,0.02945,0
68/299,12.8G,0.04627,0.007672,0,0.05394,42,640,0.3495,0.5106,0.4072,0.1768,0.07406,0.03006,0
69/299,12.8G,0.04643,0.007514,0,0.05394,47,640,0.3842,0.3385,0.3551,0.1571,0.0737,0.03197,0
70/299,12.8G,0.04513,0.007561,0,0.05269,54,640,0.6966,0.3182,0.4674,0.2137,0.07118,0.03062,0
71/299,12.8G,0.0428,0.007261,0,0.05006,43,640,0.4205,0.6257,0.527,0.2183,0.0734,0.0301,0
72/299,12.8G,0.04392,0.007487,0,0.05141,38,640,0.4862,0.6015,0.5587,0.2481,0.07484,0.02854,0
73/299,12.8G,0.04586,0.007808,0,0.05367,45,640,0.5815,0.4439,0.5324,0.2243,0.07135,0.02974,0
74/299,12.8G,0.0433,0.007651,0,0.05095,41,640,0.5713,0.491,0.5559,0.2079,0.0718,0.02867,0
75/299,12.8G,0.04377,0.00719,0,0.05096,44,640,0.4831,0.6112,0.5859,0.2523,0.06964,0.02655,0
76/299,12.8G,0.04286,0.006749,0,0.0496,30,640,0.7352,0.4197,0.5859,0.2686,0.07144,0.0261,0
77/299,12.8G,0.04249,0.007096,0,0.04959,48,640,0.6476,0.5097,0.5755,0.2532,0.07187,0.02736,0
78/299,12.8G,0.04324,0.007176,0,0.05041,38,640,0.6469,0.5209,0.5818,0.2714,0.07056,0.02849,0
79/299,12.8G,0.0428,0.007311,0,0.05011,42,640,0.6451,0.4483,0.5415,0.2534,0.0696,0.02862,0
80/299,12.8G,0.04113,0.007024,0,0.04815,45,640,0.4643,0.4952,0.4686,0.2008,0.07215,0.02936,0
81/299,12.8G,0.03932,0.006795,0,0.04612,41,640,0.6655,0.5097,0.6086,0.2974,0.07068,0.02721,0
82/299,12.8G,0.03989,0.007097,0,0.04699,39,640,0.7728,0.4323,0.5961,0.2673,0.07071,0.02627,0
83/299,12.8G,0.04048,0.007097,0,0.04758,39,640,0.6238,0.5106,0.588,0.2939,0.06858,0.02975,0
84/299,12.8G,0.04075,0.007092,0,0.04784,52,640,0.5754,0.4952,0.5843,0.2847,0.06753,0.03069,0
85/299,12.8G,0.04092,0.006825,0,0.04775,54,640,0.5394,0.5735,0.5536,0.2661,0.06868,0.03273,0
86/299,12.8G,0.03742,0.006976,0,0.04439,54,640,0.6291,0.5619,0.6107,0.3052,0.07066,0.02943,0
87/299,12.8G,0.03985,0.007036,0,0.04689,49,640,0.6859,0.5667,0.653,0.2994,0.06778,0.02832,0
88/299,12.8G,0.03856,0.006918,0,0.04548,47,640,0.712,0.6015,0.6828,0.3261,0.06712,0.02883,0
