epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
0/299,10.3G,0.07023,0.02018,0,0.0904,43,640,0.02183,0.07157,0.006121,0.001061,0.103,0.03424,0
1/299,15.1G,0.06203,0.01818,0,0.08021,61,640,0.01767,0.04159,0.004235,0.0008958,0.09445,0.03633,0
2/299,17.7G,0.05651,0.01728,0,0.0738,37,640,0.07556,0.04159,0.01809,0.007502,0.09153,0.03699,0
3/299,17.7G,0.05344,0.0182,0,0.07164,48,640,0.07022,0.1083,0.02369,0.005546,0.08574,0.03785,0
4/299,17.7G,0.04885,0.01745,0,0.0663,37,640,0.4519,0.2447,0.2264,0.08341,0.07602,0.04105,0
5/299,17.7G,0.04893,0.01619,0,0.06512,44,640,0.7629,0.323,0.3449,0.1643,0.07283,0.0394,0
6/299,17.7G,0.04925,0.01532,0,0.06457,26,640,0.4205,0.2988,0.2362,0.09655,0.07408,0.03977,0
7/299,17.7G,0.04933,0.01374,0,0.06306,43,640,0.578,0.3211,0.3263,0.1253,0.07989,0.0365,0
8/299,17.7G,0.0508,0.01245,0,0.06325,44,640,0.3764,0.3027,0.2118,0.04479,0.088,0.03407,0
9/299,17.7G,0.04963,0.01261,0,0.06224,50,640,0.3066,0.2447,0.1972,0.06054,0.102,0.03085,0
10/299,17.7G,0.05415,0.01255,0,0.0667,45,640,0.04358,0.05029,0.0123,0.002526,0.09506,0.03716,0
11/299,17.7G,0.05417,0.01189,0,0.06605,36,640,0.8267,0.2727,0.3249,0.09505,0.09525,0.03233,0
12/299,17.7G,0.05236,0.01233,0,0.06469,60,640,0.7049,0.3956,0.4746,0.1865,0.08752,0.03209,0
13/299,17.7G,0.05496,0.01154,0,0.06649,37,640,0.8407,0.4197,0.5243,0.2074,0.08451,0.03233,0
14/299,17.7G,0.04845,0.01107,0,0.05951,50,640,0.4955,0.4729,0.4855,0.1843,0.09252,0.02656,0
15/299,17.7G,0.05973,0.01115,0,0.07088,45,640,0.08315,0.2776,0.0363,0.005698,0.1142,0.03193,0
16/299,17.7G,0.0519,0.01207,0,0.06397,67,640,0.1216,0.1228,0.03465,0.007537,0.1103,0.03203,0
17/299,17.7G,0.0513,0.01128,0,0.06259,21,640,0.632,0.3607,0.4183,0.1731,0.09559,0.02972,0
18/299,17.7G,0.05398,0.01177,0,0.06574,50,640,0.01829,0.3559,0.0103,0.001588,0.1075,1.451,0
19/299,17.7G,0.05035,0.01128,0,0.06162,53,640,0.4018,0.2722,0.2307,0.07331,0.1006,0.03152,0
20/299,17.7G,0.0566,0.01123,0,0.06783,35,640,0.2219,0.3646,0.1584,0.03662,0.09648,0.03625,0
21/299,17.7G,0.05493,0.01143,0,0.06636,48,640,0.6449,0.2805,0.3598,0.08227,0.09778,0.03233,0
22/299,17.7G,0.05524,0.01057,0,0.06581,28,640,0.6158,0.4439,0.4938,0.2135,0.08725,0.03158,0
23/299,17.7G,0.04872,0.01098,0,0.0597,42,640,0.3377,0.4429,0.3499,0.123,0.09386,0.029,0
24/299,17.7G,0.0575,0.01102,0,0.06852,39,640,0.0188,0.1335,0.004459,0.0007647,0.1395,0.01343,0
25/299,17.7G,0.0527,0.01098,0,0.06368,45,640,0.3636,0.2843,0.2394,0.05594,0.09269,0.03483,0
26/299,17.7G,0.04452,0.009896,0,0.05441,30,640,0.5706,0.5145,0.4753,0.1786,0.08516,0.03076,0
27/299,17.7G,0.05049,0.009932,0,0.06042,52,640,0.4633,0.3298,0.3063,0.06539,0.1007,0.02988,0
28/299,17.7G,0.04282,0.009808,0,0.05263,45,640,0.775,0.4164,0.5173,0.2352,0.09524,0.02635,0
29/299,17.7G,0.05009,0.00977,0,0.05986,44,640,0.8163,0.5203,0.6625,0.3035,0.08311,0.02764,0
30/299,17.7G,0.04665,0.009607,0,0.05626,58,640,0.6996,0.5387,0.5797,0.2378,0.08301,0.03032,0
31/299,17.7G,0.056,0.0107,0,0.0667,41,640,0.7005,0.4236,0.5172,0.2067,0.08108,0.0368,0
32/299,17.7G,0.05596,0.009877,0,0.06583,31,640,0.9508,0.467,0.6708,0.3359,0.089,0.02731,0
33/299,17.7G,0.05369,0.01017,0,0.06386,47,640,0.7528,0.381,0.5212,0.2551,0.08055,0.03087,0
34/299,17.7G,0.05092,0.009399,0,0.06032,52,640,0.619,0.5242,0.5766,0.2452,0.07992,0.02917,0
35/299,17.7G,0.05608,0.009325,0,0.0654,40,640,0.9333,0.3897,0.5649,0.2145,0.08421,0.02746,0
36/299,17.7G,0.04795,0.009348,0,0.0573,42,640,0.7154,0.5348,0.614,0.2633,0.08487,0.02786,0
37/299,17.7G,0.03829,0.009357,0,0.04765,42,640,0.7342,0.521,0.6763,0.3296,0.08195,0.02767,0
38/299,17.7G,0.04734,0.009127,0,0.05647,38,640,0.8936,0.4872,0.6953,0.3335,0.08753,0.02731,0
39/299,17.7G,0.05664,0.009774,0,0.06642,39,640,0.007024,0.1896,0.00234,0.000324,0.1366,0.2659,0
40/299,17.7G,0.0427,0.009401,0,0.0521,46,640,0.01726,0.1306,0.005379,0.000779,0.1376,0.04755,0
41/299,17.7G,0.04998,0.00927,0,0.05925,37,640,0.09719,0.1838,0.04124,0.008085,0.1197,0.03337,0
42/299,17.7G,0.04986,0.01061,0,0.06047,48,640,0.5422,0.4352,0.4784,0.2265,0.09256,0.0295,0
43/299,17.7G,0.05708,0.009758,0,0.06684,37,640,0.8108,0.431,0.5768,0.2603,0.08603,0.0315,0
44/299,17.7G,0.05647,0.009538,0,0.066,54,640,0.7617,0.4822,0.5999,0.3294,0.08334,0.03045,0
45/299,17.7G,0.05557,0.009144,0,0.06471,35,640,0.8185,0.4842,0.6198,0.3025,0.07913,0.03153,0
46/299,17.7G,0.04436,0.008914,0,0.05327,43,640,0.7958,0.5193,0.6187,0.3043,0.08508,0.02952,0
47/299,17.7G,0.05065,0.008458,0,0.05911,37,640,0.9487,0.4293,0.5815,0.2756,0.0815,0.03098,0
48/299,17.7G,0.04951,0.008286,0,0.0578,39,640,0.7925,0.4662,0.574,0.2946,0.07321,0.03406,0
49/299,17.7G,0.03881,0.008703,0,0.04751,45,640,0.8145,0.5087,0.6482,0.3076,0.07945,0.03145,0
50/299,17.7G,0.04726,0.008466,0,0.05572,47,640,0.8045,0.5849,0.6527,0.2926,0.07051,0.03582,0
51/299,17.7G,0.05203,0.009392,0,0.06142,37,640,0.217,0.472,0.2158,0.09484,0.07196,0.04354,0
52/299,17.7G,0.04417,0.009182,0,0.05335,39,640,0.01269,0.2853,0.006523,0.001683,0.08999,0.05216,0
53/299,17.7G,0.04081,0.009315,0,0.05013,50,640,0.4244,0.2689,0.2581,0.09568,0.0753,0.04619,0
54/299,17.7G,0.04799,0.008887,0,0.05687,45,640,0.6873,0.3559,0.475,0.2381,0.06794,0.03769,0
55/299,17.7G,0.04124,0.008929,0,0.05017,51,640,0.7755,0.3211,0.4232,0.2016,0.07013,0.03877,0
56/299,17.7G,0.04389,0.008539,0,0.05243,34,640,0.953,0.4516,0.6561,0.3486,0.08044,0.02937,0
57/299,17.7G,0.05461,0.008415,0,0.06303,34,640,0.702,0.4749,0.6179,0.3439,0.08109,0.02973,0
58/299,17.7G,0.05041,0.008134,0,0.05854,51,640,0.9005,0.4139,0.639,0.3389,0.07878,0.03054,0
59/299,17.7G,0.04269,0.008607,0,0.05129,54,640,0.5958,0.5774,0.6253,0.3285,0.07483,0.03277,0
60/299,17.7G,0.05242,0.008528,0,0.06095,50,640,0.65,0.6054,0.6524,0.3598,0.07014,0.03386,0
