                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6281,                 2.8048,                 1.7442,                0.00826,                0.24758,                0.00485,                0.00184,                 2.9994,                    inf,                 6.1707,                 0.0006,                 0.0006,                 0.0006
                      2,                 1.7525,                 1.9568,                 1.7969,                0.00452,                 0.0087,                0.00228,                0.00096,                    nan,                    nan,                    nan,               0.001216,               0.001216,               0.001216
                      3,                 1.7556,                 1.8878,                 1.7789,                  5e-05,                0.00387,                  3e-05,                      0,                    nan,                    nan,                    nan,              0.0018279,              0.0018279,              0.0018279
                      4,                 1.7092,                  1.717,                 1.7026,                0.01557,                0.02611,                0.01041,                0.00326,                    nan,                    nan,                    nan,              0.0019802,              0.0019802,              0.0019802
                      5,                  1.545,                 1.4869,                 1.5737,                0.07534,                0.25822,                0.05729,                0.02329,                 2.4756,                 21.802,                 2.9399,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.5182,                 1.4144,                 1.5651,                0.34508,                0.42166,                0.26544,                0.12258,                 1.9589,                 2.2858,                 2.1161,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.5207,                 1.3625,                 1.5676,                  0.328,                0.32592,                0.23756,                0.10681,                 2.1673,                  2.984,                 2.4633,               0.001967,               0.001967,               0.001967
                      8,                 1.4056,                 1.2655,                 1.5142,                0.46146,                0.32402,                0.34045,                0.19536,                 1.7219,                 2.2608,                 2.0562,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.4051,                 1.1947,                 1.5205,                0.39806,                0.44004,                0.29559,                0.13357,                 2.1495,                  2.672,                 2.2417,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.3527,                 1.2178,                 1.4804,                0.68748,                0.34913,                 0.4497,                0.24566,                 1.7299,                 1.7907,                 1.8455,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.3153,                 1.1178,                 1.4396,                0.75577,                0.41599,                0.52381,                 0.2949,                 1.5598,                   1.68,                 1.6784,              0.0019406,              0.0019406,              0.0019406
                     12,                  1.311,                 1.1027,                 1.4179,                0.55239,                0.51161,                0.58416,                0.32398,                 1.6179,                 1.5247,                 1.7453,               0.001934,               0.001934,               0.001934
                     13,                 1.3196,                 1.0402,                 1.4228,                0.55983,                0.46422,                0.52466,                0.29117,                 1.6779,                  1.588,                 1.8228,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.3073,                 1.0574,                 1.4212,                0.69011,                0.51258,                0.59745,                0.34651,                 1.4929,                 1.4161,                 1.6682,              0.0019208,              0.0019208,              0.0019208
                     15,                  1.232,                 1.0044,                 1.3925,                0.75206,                 0.4942,                0.60347,                0.30266,                 1.7115,                 1.4693,                 1.7699,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.2778,                0.99654,                 1.3988,                 0.6319,                0.48259,                0.58447,                0.31191,                 1.6112,                 1.4178,                 1.7037,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.2351,                0.99677,                 1.3818,                0.66798,                0.57204,                0.63845,                0.36601,                 1.4658,                  1.293,                 1.5722,               0.001901,               0.001901,               0.001901
                     18,                 1.2598,                 1.0115,                 1.3979,                0.63512,                0.58918,                0.64155,                0.35029,                 1.5617,                 1.2778,                  1.624,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.2228,                 0.9141,                 1.3615,                 0.8628,                0.45614,                 0.6454,                0.34599,                 1.5871,                 1.2657,                 1.6794,              0.0018878,              0.0018878,              0.0018878
                     20,                  1.237,                0.94203,                 1.3955,                0.63524,                0.61896,                0.66957,                 0.3754,                 1.5915,                 1.2461,                 1.7237,              0.0018812,              0.0018812,              0.0018812
