                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6894,                 3.8505,                 4.2307,                0.00282,                0.29481,                0.00617,                0.00146,                 3.5173,                  4.125,                 4.1595,                0.00054,                0.00054,                0.00054
                      2,                 3.2373,                 3.2012,                 3.7703,                0.00266,                 0.2783,                0.00688,                0.00227,                 3.6586,                 4.1414,                 4.3294,              0.0010964,              0.0010964,              0.0010964
                      3,                 2.8913,                 2.8518,                 3.3106,                0.00495,                0.16509,                0.00969,                0.00266,                 3.5668,                 3.9663,                 4.2069,               0.001649,               0.001649,               0.001649
                      4,                 2.7015,                 2.6548,                 3.0579,                0.05582,                0.08726,                0.02891,                0.00946,                 2.9275,                 13.034,                  6.178,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.5248,                 2.4577,                 2.8482,                0.15408,                0.19575,                0.08879,                0.02851,                 3.2111,                 3.1818,                 4.1441,              0.0019802,              0.0019802,              0.0019802
                      6,                 2.3931,                 2.3335,                 2.7339,                0.11796,                0.28538,                0.08396,                0.02851,                 2.6316,                 8.2549,                 3.6864,              0.0019736,              0.0019736,              0.0019736
                      7,                 2.2964,                 2.2057,                 2.6147,                0.15577,                0.30425,                0.15395,                0.07493,                 2.3194,                 6.9049,                 2.8607,               0.001967,               0.001967,               0.001967
                      8,                 2.2731,                 2.1566,                 2.5736,                0.40546,                  0.375,                0.38499,                0.14503,                 2.1768,                 2.4158,                 2.5213,              0.0019604,              0.0019604,              0.0019604
                      9,                  2.176,                 2.0198,                 2.4729,                0.47021,                0.52358,                0.48833,                0.22304,                 2.0247,                 2.2948,                 2.4492,              0.0019538,              0.0019538,              0.0019538
                     10,                 2.1183,                 1.8823,                  2.384,                0.58477,                0.54245,                 0.5766,                0.26036,                 2.1088,                  2.527,                 2.4759,              0.0019472,              0.0019472,              0.0019472
                     11,                 2.0514,                 1.8303,                 2.3417,                0.59693,                0.49249,                0.53028,                0.25657,                 2.1295,                 1.9695,                 2.4727,              0.0019406,              0.0019406,              0.0019406
                     12,                 2.0239,                 1.7514,                 2.3042,                0.65613,                0.59198,                0.64899,                0.29228,                 1.9098,                 1.9128,                 2.3256,               0.001934,               0.001934,               0.001934
                     13,                 1.9337,                 1.6905,                 2.2324,                0.64328,                0.67453,                0.68318,                0.33853,                 1.8062,                 1.7323,                 2.2358,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.8696,                 1.6137,                 2.1692,                0.65548,                0.70451,                0.73651,                 0.3714,                 1.8384,                 1.7437,                  2.246,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.8487,                 1.5969,                 2.1336,                0.76378,                0.57956,                 0.6676,                0.34586,                 1.8547,                 1.6281,                 2.2741,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.8125,                 1.5445,                 2.1216,                0.71099,                0.67883,                0.71692,                0.35692,                 1.8503,                 1.6977,                 2.1929,              0.0019076,              0.0019076,              0.0019076
