                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5138,                 4.0954,                 4.3788,                0.00311,                 0.2205,                  0.003,                0.00125,                 3.9909,                 3.9997,                 4.1662,              0.0002142,              0.0002142,              0.0002142
                      2,                 3.1689,                 3.4188,                 3.9546,                0.00498,                0.20793,                0.00423,                0.00177,                 4.0893,                  3.919,                 4.2766,              0.0004341,              0.0004341,              0.0004341
                      3,                 2.8976,                 3.1121,                 3.6002,                0.01173,                 0.0648,                0.01423,                0.00375,                 3.9293,                 3.7016,                 4.1631,             0.00065254,             0.00065254,             0.00065254
                      4,                 2.7856,                 2.8305,                 3.4323,                0.03098,                0.12766,                0.01259,                0.00469,                 3.2437,                 79.114,                 7.0986,             0.00070693,             0.00070693,             0.00070693
                      5,                 2.5911,                 2.5588,                 3.1469,                0.06318,                0.20986,                0.03648,                0.01357,                 2.8268,                 8.9585,                  4.482,             0.00070693,             0.00070693,             0.00070693
                      6,                 2.5342,                 2.4888,                 2.9994,                0.06271,                 0.2118,                 0.0344,                0.01327,                 2.8021,                 12.778,                 4.6095,             0.00070458,             0.00070458,             0.00070458
                      7,                 2.3981,                 2.1848,                  2.816,                0.24006,                0.26789,                0.13385,                 0.0589,                 2.4427,                 3.6781,                 2.8668,             0.00070222,             0.00070222,             0.00070222
                      8,                 2.2816,                 2.1457,                 2.6911,                0.57328,                 0.2882,                0.35651,                0.17263,                 2.0713,                 2.6541,                 2.5448,             0.00069986,             0.00069986,             0.00069986
                      9,                 2.1644,                 2.0148,                 2.6049,                0.76885,                 0.2766,                0.36049,                0.15371,                 2.4129,                 2.4192,                 2.7518,             0.00069751,             0.00069751,             0.00069751
                     10,                 2.1279,                 1.9205,                 2.5343,                0.55129,                0.31625,                0.36085,                0.16549,                 2.2879,                  2.003,                 2.6673,             0.00069515,             0.00069515,             0.00069515
                     11,                 1.9959,                 1.7667,                 2.4279,                0.25245,                0.37234,                 0.2389,                0.10852,                 2.1891,                  2.234,                 2.5322,             0.00069279,             0.00069279,             0.00069279
