                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5601,                 4.0527,                 4.2956,                0.00311,                 0.2205,                0.00299,                0.00123,                 3.9954,                 4.0061,                 4.1655,              0.0002142,              0.0002142,              0.0002142
                      2,                 3.2287,                 3.3397,                  3.913,                0.00305,                0.21567,                0.00288,                0.00126,                 4.1482,                 3.9351,                  4.286,              0.0004341,              0.0004341,              0.0004341
                      3,                 2.8514,                 3.0638,                 3.5983,                0.00336,                0.03385,                0.00342,                0.00136,                  4.218,                 4.4386,                  4.343,             0.00065254,             0.00065254,             0.00065254
                      4,                 2.7282,                 2.7276,                 3.3907,                0.10719,                0.15377,                0.06011,                0.02072,                 2.7979,                 4.7213,                 3.5804,             0.00070693,             0.00070693,             0.00070693
                      5,                 2.5595,                 2.4832,                 3.1456,                0.25292,                0.18085,                0.10918,                0.04278,                 2.6198,                 3.4663,                  3.429,             0.00070693,             0.00070693,             0.00070693
                      6,                 2.4876,                 2.4429,                 3.0228,                0.24932,                0.35106,                0.20146,                0.06543,                 2.5194,                 3.4444,                 3.0111,             0.00070458,             0.00070458,             0.00070458
                      7,                 2.3491,                 2.2438,                 2.8218,                0.04869,                0.31335,                0.03395,                 0.0119,                 2.7902,                 14.546,                 10.011,             0.00070222,             0.00070222,             0.00070222
                      8,                 2.2215,                 2.1361,                 2.6952,                0.50287,                 0.2824,                 0.3328,                0.15744,                 2.2222,                 2.2567,                 2.6591,             0.00069986,             0.00069986,             0.00069986
                      9,                 2.1386,                 2.0007,                 2.5922,                0.53554,                0.29884,                0.27779,                0.12376,                 2.2355,                 2.1122,                 2.6723,             0.00069751,             0.00069751,             0.00069751
                     10,                 2.0569,                 1.9346,                 2.5021,                 0.6901,                 0.3015,                0.39429,                0.18423,                 2.1158,                 1.9657,                 2.4937,             0.00069515,             0.00069515,             0.00069515
                     11,                 1.9666,                 1.7671,                 2.4286,                0.59744,                0.38466,                0.42128,                  0.205,                 1.9645,                 1.8711,                 2.3809,             0.00069279,             0.00069279,             0.00069279
                     12,                 1.9706,                 1.7901,                 2.4427,                0.47356,                0.39168,                0.37591,                0.15997,                  2.073,                 1.7992,                 2.4761,             0.00069044,             0.00069044,             0.00069044
                     13,                 1.9259,                 1.7686,                 2.4258,                0.41387,                0.48646,                0.45143,                0.17831,                 2.0387,                 1.8736,                 2.4737,             0.00068808,             0.00068808,             0.00068808
                     14,                 1.9523,                 1.8103,                 2.4026,                0.44958,                0.39418,                 0.4016,                0.18067,                 2.0478,                 1.9562,                 2.5049,             0.00068573,             0.00068573,             0.00068573
                     15,                 1.8134,                 1.6438,                 2.3063,                0.61392,                0.39216,                0.50283,                0.22525,                 2.0295,                 1.6654,                 2.4653,             0.00068337,             0.00068337,             0.00068337
                     16,                 1.7838,                 1.5856,                 2.2627,                0.56105,                0.46479,                0.46101,                0.21289,                 1.9967,                 1.7849,                 2.4389,             0.00068101,             0.00068101,             0.00068101
                     17,                 1.7214,                 1.5341,                  2.218,                0.50148,                0.42843,                0.40461,                0.15321,                 2.2515,                 1.9922,                 2.5803,             0.00067866,             0.00067866,             0.00067866
                     18,                 1.6541,                 1.4118,                 2.1898,                0.71039,                0.36847,                0.51228,                0.24284,                 1.9367,                 1.6106,                 2.3368,              0.0006763,              0.0006763,              0.0006763
