                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5317,                 3.7962,                 4.3354,                0.00304,                0.20986,                0.00781,                0.00267,                 3.9893,                 3.8244,                 4.1698,              0.0002142,              0.0002142,              0.0002142
                      2,                 3.2292,                 3.2247,                 3.9777,                0.00305,                  0.206,                0.00279,                0.00108,                 4.1143,                 3.9247,                   4.29,              0.0004341,              0.0004341,              0.0004341
                      3,                 2.8264,                 2.9957,                 3.6065,                0.00308,                0.19729,                0.00811,                0.00281,                 4.2085,                  3.842,                 4.3916,             0.00065254,             0.00065254,             0.00065254
                      4,                  2.736,                 2.6694,                 3.3921,                0.09618,                0.17698,                 0.0521,                0.01758,                 2.7342,                 4.8906,                 3.3798,             0.00070693,             0.00070693,             0.00070693
                      5,                 2.5244,                 2.4491,                 3.1234,                0.28108,                0.28433,                0.14347,                0.04884,                 2.6444,                 4.0436,                 3.0422,             0.00070693,             0.00070693,             0.00070693
                      6,                 2.4442,                  2.401,                 3.0109,                0.24628,                0.15571,                0.12059,                0.03635,                 2.8512,                 3.7155,                 3.3675,             0.00070458,             0.00070458,             0.00070458
                      7,                 2.2895,                  2.154,                  2.813,                0.56057,                0.25629,                0.25912,                0.10851,                 2.5561,                 2.4867,                 3.0191,             0.00070222,             0.00070222,             0.00070222
                      8,                 2.2472,                  2.127,                 2.7236,                0.24448,                0.33849,                0.20477,                 0.0831,                 2.2829,                 2.4724,                 2.6832,             0.00069986,             0.00069986,             0.00069986
                      9,                  2.146,                 2.0132,                 2.5913,                0.19151,                0.24649,                0.22105,                 0.0756,                 2.4301,                 2.3333,                 2.7937,             0.00069751,             0.00069751,             0.00069751
                     10,                 2.0692,                 1.8876,                 2.5203,                0.60442,                0.31044,                0.37659,                0.17817,                 2.0682,                 1.8926,                 2.4823,             0.00069515,             0.00069515,             0.00069515
                     11,                 1.9872,                 1.7349,                 2.4289,                0.25765,                0.38878,                0.30172,                0.12529,                 2.1838,                 2.1006,                 2.6092,             0.00069279,             0.00069279,             0.00069279
                     12,                 1.9878,                 1.8114,                 2.4445,                0.58242,                 0.3696,                0.42461,                0.19714,                 2.1565,                 1.9503,                 2.5755,             0.00069044,             0.00069044,             0.00069044
                     13,                 1.9359,                 1.7612,                 2.4069,                0.40145,                0.49167,                0.45481,                  0.215,                 2.0884,                 1.8833,                 2.4872,             0.00068808,             0.00068808,             0.00068808
                     14,                 1.9546,                 1.7984,                  2.376,                0.58066,                0.32979,                0.41986,                0.17251,                 1.9845,                 1.8705,                 2.4521,             0.00068573,             0.00068573,             0.00068573
                     15,                 1.8483,                 1.6612,                 2.3333,                 0.7683,                0.34526,                0.46783,                0.23329,                 2.1396,                 1.6687,                 2.5811,             0.00068337,             0.00068337,             0.00068337
                     16,                 1.8616,                 1.5799,                 2.2922,                0.86385,                0.33749,                0.48692,                 0.2501,                 2.0296,                 1.6402,                  2.416,             0.00068101,             0.00068101,             0.00068101
                     17,                  1.779,                 1.5517,                 2.2254,                0.73903,                0.28433,                0.41773,                0.18927,                 2.0363,                 1.8717,                 2.4227,             0.00067866,             0.00067866,             0.00067866
                     18,                 1.6865,                 1.4657,                 2.1754,                0.54059,                0.44004,                0.47582,                0.22873,                  1.966,                 1.6054,                 2.3482,              0.0006763,              0.0006763,              0.0006763
                     19,                 1.6208,                 1.3639,                 2.0916,                0.62612,                0.39652,                0.47684,                0.22534,                 1.9742,                 1.7215,                 2.3632,             0.00067394,             0.00067394,             0.00067394
                     20,                 1.5894,                 1.3306,                 2.0247,                0.80724,                0.31335,                0.44866,                0.20209,                 2.0449,                 1.7157,                 2.4264,             0.00067159,             0.00067159,             0.00067159
                     21,                 1.5795,                 1.3301,                 2.0463,                0.52545,                0.36847,                0.42775,                0.20495,                 1.9867,                 1.8249,                 2.3065,             0.00066923,             0.00066923,             0.00066923
                     22,                 1.5994,                  1.306,                 2.0433,                 0.4579,                0.51629,                0.52521,                0.25348,                 1.8656,                 1.6061,                   2.24,             0.00066688,             0.00066688,             0.00066688
                     23,                 1.5318,                 1.2319,                 1.9958,                0.77718,                0.34236,                0.53506,                0.26701,                 1.8347,                 1.5516,                 2.2066,             0.00066452,             0.00066452,             0.00066452
                     24,                 1.5292,                 1.2508,                 1.9671,                0.49018,                0.49841,                0.53317,                0.25657,                 1.8789,                 1.5849,                 2.2937,             0.00066216,             0.00066216,             0.00066216
                     25,                 1.5561,                 1.1947,                 1.9616,                0.61789,                 0.3646,                 0.4776,                0.21158,                 1.8723,                 1.7221,                 2.2715,             0.00065981,             0.00065981,             0.00065981
                     26,                 1.5253,                 1.1633,                  1.968,                0.68425,                0.39265,                0.48812,                 0.2372,                 1.8043,                 1.6267,                 2.2325,             0.00065745,             0.00065745,             0.00065745
                     27,                 1.4272,                 1.1538,                 1.8749,                0.58101,                0.45068,                0.54633,                0.29212,                 1.6992,                 1.4764,                 2.0802,             0.00065509,             0.00065509,             0.00065509
