                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.446,                 3.8472,                 4.2412,                0.00307,                 0.2176,                0.00371,                0.00145,                      4,                 4.0198,                 4.1735,                 0.0006,                 0.0006,                 0.0006
                      2,                 3.0447,                 3.2236,                 3.6822,                0.00281,                0.19729,                0.00471,                 0.0022,                 4.1918,                 4.0459,                 4.4249,               0.001216,               0.001216,               0.001216
                      3,                 2.7889,                 2.7843,                 3.2484,                0.04999,                0.14797,                0.02859,                0.01124,                 3.1347,                 4.5777,                 3.4941,              0.0018279,              0.0018279,              0.0018279
                      4,                 2.6267,                 2.5522,                 3.0516,                 0.0114,                0.19729,                0.00834,                0.00316,                  3.349,                    inf,                 6.1815,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.4773,                 2.3878,                 2.8805,                0.04999,                0.09671,                0.03592,                0.01143,                 3.1223,                 3.5899,                   4.43,              0.0019802,              0.0019802,              0.0019802
                      6,                 2.4074,                 2.2508,                 2.7865,                0.26287,                0.24081,                0.21096,                0.07895,                 2.5063,                 7.8989,                 3.2321,              0.0019736,              0.0019736,              0.0019736
                      7,                 2.2814,                 2.2091,                 2.6804,                0.26061,                0.18762,                 0.1827,                0.07045,                 2.6679,                   3.04,                 3.0438,               0.001967,               0.001967,               0.001967
                      8,                 2.2278,                 2.0544,                 2.6089,                0.56943,                0.21954,                 0.2802,                0.10233,                 2.6262,                 3.1838,                 3.0052,              0.0019604,              0.0019604,              0.0019604
                      9,                   2.12,                 1.9847,                  2.536,                0.37341,                0.35687,                 0.3415,                0.13816,                 2.3715,                 2.4122,                 2.7382,              0.0019538,              0.0019538,              0.0019538
                     10,                 2.0251,                 1.9259,                 2.4427,                0.61211,                0.36267,                0.43354,                0.16946,                 2.3273,                 2.0063,                 2.7657,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.9983,                 1.8501,                 2.3818,                0.47655,                0.32929,                0.39181,                0.15031,                 2.2727,                 2.0299,                 2.6322,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.9393,                 1.7813,                 2.3435,                0.75648,                0.31846,                0.43223,                0.20756,                 2.1068,                 1.7887,                   2.49,               0.001934,               0.001934,               0.001934
                     13,                 1.8972,                 1.6827,                 2.2982,                  0.658,                0.39819,                0.51122,                0.21593,                  1.985,                 1.9511,                 2.3493,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.9079,                 1.7187,                 2.3041,                0.62456,                0.42553,                0.50173,                0.20626,                 2.2245,                 1.7458,                 2.5586,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.8671,                 1.6524,                 2.2542,                0.58958,                 0.4942,                0.57797,                0.25851,                 1.9599,                 1.6223,                 2.3142,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.7789,                 1.5517,                 2.1625,                0.59136,                0.49903,                0.52657,                0.20815,                 2.0724,                 1.5947,                  2.432,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.7708,                 1.5248,                 2.1517,                0.86495,                0.39265,                0.57084,                0.27227,                 1.9108,                 1.6546,                 2.3346,               0.001901,               0.001901,               0.001901
                     18,                 1.7653,                 1.5485,                 2.1517,                 0.4978,                0.53772,                0.53292,                0.25476,                 2.0082,                 1.5804,                  2.369,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.6754,                 1.4367,                 2.0775,                 0.4589,                0.55513,                0.52392,                 0.2521,                  1.909,                 1.6096,                  2.328,              0.0018878,              0.0018878,              0.0018878
                     20,                  1.668,                 1.4285,                 2.0891,                0.67676,                0.44584,                 0.5437,                0.24568,                 2.1046,                 1.6168,                 2.4839,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.6349,                 1.3573,                 2.0575,                0.50636,                 0.5029,                0.52565,                0.21034,                 2.0543,                 1.5917,                  2.448,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.6229,                 1.3453,                 2.0445,                  0.715,                0.38092,                 0.4547,                0.22239,                 2.1888,                 2.1617,                 2.8754,               0.001868,               0.001868,               0.001868
                     23,                 1.6186,                 1.3391,                 2.0256,                0.48032,                0.43907,                0.50009,                0.26313,                  1.826,                 1.5203,                 2.1954,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.6158,                 1.3307,                 2.0181,                0.75045,                0.37137,                0.52602,                0.23804,                 2.0096,                 1.5871,                 2.3967,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.5768,                 1.3073,                 1.9847,                0.46012,                0.55609,                0.53806,                0.27052,                 1.7932,                 1.5517,                 2.1871,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.5889,                 1.3134,                 2.0045,                0.49717,                0.57157,                0.54693,                0.25303,                 2.0088,                 1.4789,                 2.3786,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.5381,                 1.2543,                  1.936,                0.52171,                0.45841,                0.49713,                0.22616,                 2.0471,                 1.5921,                 2.4449,               0.001835,               0.001835,               0.001835
                     28,                 1.5327,                 1.2323,                 1.9653,                0.88555,                0.40716,                0.55707,                0.28479,                 1.9396,                 1.5493,                 2.3293,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.4841,                 1.1979,                 1.9027,                0.75241,                0.42553,                0.57701,                0.27071,                 1.9966,                 1.4911,                  2.352,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.4917,                 1.1863,                 1.8928,                0.67607,                0.47485,                0.57174,                0.26182,                 2.0237,                 1.5668,                 2.3717,              0.0018152,              0.0018152,              0.0018152
                     31,                  1.455,                  1.162,                 1.8418,                0.66916,                0.57705,                0.61997,                0.30956,                 1.8748,                 1.3814,                 2.2215,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.4601,                 1.1311,                 1.8416,                0.69469,                0.60348,                0.67733,                0.33914,                 1.7048,                 1.3129,                  2.085,               0.001802,               0.001802,               0.001802
                     33,                 1.4236,                 1.0921,                 1.8177,                0.56066,                0.58704,                0.63007,                0.30701,                 1.9047,                 1.3768,                 2.3074,              0.0017954,              0.0017954,              0.0017954
                     34,                  1.433,                 1.1244,                 1.8405,                0.60058,                0.38008,                0.51428,                0.25737,                 1.8798,                 1.5605,                 2.1993,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.4066,                  1.088,                 1.7836,                0.56163,                 0.4942,                0.57508,                0.28181,                 1.8733,                 1.3482,                 2.2789,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.4175,                 1.0686,                  1.809,                0.58528,                0.51547,                0.56883,                0.29977,                 1.8584,                 1.4709,                 2.2015,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.4157,                 1.0608,                 1.8359,                0.60204,                 0.4942,                0.60066,                0.30542,                 1.7866,                  1.353,                 2.1608,               0.001769,               0.001769,               0.001769
                     38,                 1.4191,                 1.0911,                 1.8097,                0.63302,                0.45164,                0.57595,                0.30294,                 1.8595,                 1.4626,                 2.2834,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.3802,                 1.0336,                 1.7694,                0.70462,                0.36654,                 0.5265,                0.28377,                 1.7971,                 1.5119,                  2.146,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.4169,                 1.0215,                 1.8028,                0.77793,                0.44778,                0.59342,                0.30565,                 1.8234,                 1.5581,                 2.2294,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.3632,                 1.0062,                 1.7444,                0.63226,                0.60857,                 0.6691,                0.34532,                 1.7584,                 1.2885,                 2.1209,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.3836,                 1.0087,                  1.782,                0.63249,                0.47389,                0.59197,                0.27067,                 1.9501,                 1.4522,                 2.2328,               0.001736,               0.001736,               0.001736
                     43,                  1.361,                 1.0144,                 1.7633,                0.51788,                  0.588,                0.58764,                0.26952,                 1.9466,                 1.4885,                 2.3913,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.4049,                 1.0656,                 1.7981,                 0.7697,                 0.5029,                 0.6475,                0.34406,                 1.7179,                  1.271,                 2.0722,              0.0017228,              0.0017228,              0.0017228
                     45,                  1.347,                0.98362,                 1.7408,                0.75789,                0.46422,                0.60649,                0.30113,                 1.8671,                 1.3716,                 2.2296,              0.0017162,              0.0017162,              0.0017162
                     46,                  1.351,                0.98279,                 1.7341,                0.81469,                 0.5017,                0.65159,                0.34501,                  1.718,                 1.3029,                 2.0274,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.3324,                0.97779,                 1.7399,                0.64133,                0.51533,                0.62538,                0.32896,                 1.7619,                 1.3027,                 2.1283,               0.001703,               0.001703,               0.001703
                     48,                 1.3206,                0.96528,                 1.7399,                0.71466,                0.47679,                0.59838,                0.31795,                 1.7079,                 1.3698,                 2.0565,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.3315,                0.99163,                  1.734,                0.56416,                0.47582,                0.54107,                0.30023,                 1.7496,                 1.4139,                 2.1057,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.3079,                0.97583,                 1.7225,                0.66911,                0.52128,                0.62117,                0.32671,                  1.756,                 1.3858,                  2.083,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.3115,                0.97705,                 1.7141,                0.70446,                0.53191,                0.63441,                0.33021,                 1.8137,                 1.3347,                  2.188,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.2815,                0.92721,                 1.6752,                0.78782,                0.56383,                 0.6841,                0.34912,                 1.7372,                 1.1946,                 2.0925,                0.00167,                0.00167,                0.00167
                     53,                 1.2508,                0.89301,                 1.6564,                 0.6017,                0.52451,                 0.5952,                0.27841,                 1.9701,                 1.3734,                 2.3659,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.3016,                0.95594,                 1.6835,                0.82147,                 0.4717,                0.59056,                0.31694,                 1.7542,                 1.4403,                 2.0644,              0.0016568,              0.0016568,              0.0016568
                     55,                  1.317,                0.93527,                 1.7188,                0.64715,                0.56227,                0.64653,                0.34345,                 1.6815,                  1.296,                  2.078,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.2824,                0.94562,                 1.6898,                0.65448,                0.60348,                0.69061,                0.35389,                 1.7507,                   1.22,                 2.0992,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.2311,                0.89859,                 1.6192,                0.65959,                0.53288,                0.62109,                0.32938,                 1.7273,                 1.2569,                 2.1586,               0.001637,               0.001637,               0.001637
                     58,                 1.2636,                0.93368,                 1.6653,                  0.733,                0.58145,                0.68475,                0.34955,                 1.7098,                  1.192,                 2.1343,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.2697,                0.89259,                 1.6783,                0.65705,                0.55899,                0.65508,                0.36993,                 1.5627,                 1.1831,                 1.9962,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.2818,                0.88159,                 1.6663,                0.66814,                0.55996,                0.66723,                0.33964,                 1.8315,                 1.2692,                 2.1872,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.2573,                0.90189,                 1.6577,                0.61964,                0.50774,                0.61079,                0.32845,                 1.7241,                 1.2933,                  2.125,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.2308,                0.87176,                 1.6189,                0.69645,                0.55126,                 0.6373,                 0.3372,                 1.7439,                  1.371,                 2.0747,               0.001604,               0.001604,               0.001604
                     63,                 1.2717,                0.91444,                  1.669,                0.61711,                0.60928,                0.64649,                0.33683,                 1.6938,                 1.1825,                  2.059,              0.0015974,              0.0015974,              0.0015974
                     64,                 1.2509,                0.90442,                 1.6454,                 0.7069,                0.58994,                0.68664,                0.34652,                 1.7159,                 1.1999,                 2.1096,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.2582,                 0.8749,                 1.6308,                0.59122,                 0.6499,                0.66199,                 0.3161,                 1.7646,                  1.267,                 2.1064,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.2125,                0.86595,                 1.6023,                0.64464,                0.61896,                0.65205,                0.32932,                 1.7451,                 1.2139,                 2.0808,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.2441,                0.85801,                  1.622,                0.72524,                0.50484,                0.63802,                0.32643,                 1.8253,                 1.2034,                 2.2193,               0.001571,               0.001571,               0.001571
                     68,                 1.2556,                0.85775,                 1.6279,                0.72381,                0.59478,                0.70136,                0.36754,                 1.7209,                 1.2139,                 2.0832,              0.0015644,              0.0015644,              0.0015644
