                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4071,                 3.6456,                 4.2092,                0.00315,                  0.206,                0.00301,                0.00126,                 4.0181,                  3.905,                 4.1745,                 0.0006,                 0.0006,                 0.0006
                      2,                 2.9535,                  2.996,                  3.682,                0.03489,                0.06576,                0.00879,                0.00363,                 3.6935,                    inf,                 9.9668,               0.001216,               0.001216,               0.001216
                      3,                 2.7111,                 2.6555,                 3.2332,                0.01368,                0.27176,                0.00634,                0.00236,                 3.7634,                    inf,                 27.151,              0.0018279,              0.0018279,              0.0018279
                      4,                 2.5246,                 2.4654,                 3.0084,                0.07862,                0.28337,                0.05717,                0.01677,                 2.7988,                 14.928,                 4.1153,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.4204,                 2.3245,                 2.8725,                0.07691,                0.39555,                0.05719,                0.01883,                 2.6626,                 13.017,                 4.1715,              0.0019802,              0.0019802,              0.0019802
                      6,                 2.3279,                 2.2401,                 2.7433,                0.09035,                0.42166,                0.10888,                0.03025,                 2.7096,                 15.809,                 3.8014,              0.0019736,              0.0019736,              0.0019736
                      7,                 2.2141,                 2.1544,                 2.6321,                0.30915,                0.30948,                0.19229,                0.05902,                 2.4107,                 2.6002,                 2.9065,               0.001967,               0.001967,               0.001967
                      8,                 2.1461,                 2.0616,                 2.5445,                 0.3489,                0.26015,                 0.2196,                0.06602,                  2.452,                 2.3204,                 2.9585,              0.0019604,              0.0019604,              0.0019604
                      9,                 2.0912,                 1.9718,                 2.4996,                0.16302,                0.26306,                0.11666,                0.04261,                 2.3526,                 4.6364,                 2.8461,              0.0019538,              0.0019538,              0.0019538
                     10,                 2.0207,                 1.9379,                 2.4167,                0.29003,                 0.5058,                0.26919,                0.09656,                 2.2312,                 2.2315,                 2.6317,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.9628,                 1.8391,                 2.3337,                0.56466,                0.40039,                0.41558,                0.20431,                 2.2679,                 1.9567,                 2.6076,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.8747,                 1.7454,                 2.2525,                0.36578,                0.48936,                0.41341,                0.18321,                  1.997,                 2.1174,                  2.384,               0.001934,               0.001934,               0.001934
                     13,                 1.8364,                 1.6852,                 2.1969,                 0.6137,                0.44778,                0.48934,                0.23244,                 1.9671,                   2.23,                 2.3534,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.8037,                 1.6763,                 2.1949,                0.60393,                0.35977,                0.44396,                0.17653,                 1.9851,                 1.8054,                 2.3641,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.7784,                 1.6475,                 2.1653,                0.60609,                0.37911,                0.45304,                0.23804,                 2.0108,                 1.9008,                 2.5397,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.7487,                 1.6212,                 2.1133,                0.46488,                0.47099,                0.44974,                0.20024,                 1.9594,                 1.8612,                 2.3631,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.6981,                 1.5165,                 2.0617,                0.44619,                0.33849,                0.36501,                0.16055,                 2.0387,                 2.7245,                  2.446,               0.001901,               0.001901,               0.001901
                     18,                 1.6938,                  1.531,                 2.0444,                0.55497,                0.36944,                0.41248,                0.20149,                 1.9664,                 1.8109,                 2.3039,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.6264,                 1.4793,                 1.9862,                0.54862,                0.52418,                0.55605,                0.28225,                 1.8779,                 1.6225,                 2.2591,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.6291,                 1.4693,                  1.972,                0.47686,                0.43037,                0.41359,                0.22583,                 1.8191,                 1.8994,                   2.18,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.5741,                 1.3735,                 1.9279,                0.47526,                0.47776,                0.44553,                0.22045,                 1.9487,                 1.6127,                 2.2116,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.5893,                 1.3995,                 1.9451,                0.57699,                 0.4381,                0.50915,                0.26935,                 1.8987,                 1.6405,                 2.1885,               0.001868,               0.001868,               0.001868
                     23,                 1.6082,                 1.3871,                 1.9561,                0.53969,                0.53578,                 0.5267,                 0.2476,                  1.826,                 1.7261,                 2.2771,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.6128,                 1.4015,                 1.9487,                0.59494,                0.50677,                 0.5612,                0.27582,                  1.822,                 1.5069,                 2.1305,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.5579,                 1.3313,                 1.9101,                0.51093,                0.50193,                0.47976,                 0.2516,                 1.8116,                  1.605,                 2.1294,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.5683,                 1.3416,                 1.9202,                0.53044,                0.40329,                 0.4659,                0.25223,                 1.7858,                 1.8366,                 2.1693,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.5283,                 1.2922,                 1.8569,                  0.491,                0.46422,                0.48207,                0.24091,                  2.027,                 1.7522,                 2.4914,               0.001835,               0.001835,               0.001835
                     28,                  1.513,                 1.3087,                 1.8476,                0.64003,                0.36557,                0.42192,                0.21171,                 2.0303,                 2.1035,                 2.2474,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.4425,                 1.2232,                 1.7994,                0.63955,                0.44874,                0.54674,                0.29342,                 1.7564,                 1.5136,                 2.0673,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.4852,                 1.2219,                 1.8138,                0.67782,                0.34429,                0.44818,                0.22358,                 1.8096,                 1.7232,                 2.1048,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.4529,                  1.213,                 1.7821,                0.55999,                0.54352,                0.56101,                 0.2587,                 1.9634,                 1.6298,                 2.1716,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.4697,                 1.2071,                 1.8069,                0.61432,                0.52128,                0.58587,                0.30455,                 1.6939,                 1.4525,                  2.037,               0.001802,               0.001802,               0.001802
                     33,                 1.4231,                 1.1639,                 1.7449,                0.50817,                0.42843,                0.45678,                0.24688,                  1.793,                 1.7117,                 2.1277,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.4257,                 1.1806,                 1.7643,                0.48209,                0.39749,                0.39706,                0.19947,                 1.9691,                   1.93,                 2.2189,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.3848,                 1.1268,                 1.7151,                 0.5398,                0.61702,                0.59827,                0.29241,                   1.77,                 1.5363,                  2.131,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.4095,                 1.1229,                 1.7404,                0.78845,                0.44681,                0.54215,                0.28818,                 1.8236,                 1.6815,                 2.0393,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.3735,                 1.1067,                 1.7257,                0.65421,                0.51451,                0.58309,                0.32502,                 1.6636,                 1.4732,                  1.996,               0.001769,               0.001769,               0.001769
                     38,                  1.386,                 1.1029,                 1.7232,                0.70034,                0.44528,                0.58296,                0.31977,                 1.6848,                 1.4013,                  1.993,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.3576,                  1.097,                 1.7094,                0.69366,                0.54159,                0.62953,                0.32593,                 1.7134,                 1.4565,                 1.9746,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.4167,                 1.0953,                 1.7335,                0.94159,                0.37234,                0.54068,                0.30695,                 1.6823,                 1.5547,                  1.978,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.3399,                 1.0622,                 1.6699,                0.57433,                0.52708,                0.56192,                 0.2937,                 1.8111,                 1.5682,                 2.0892,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.3595,                 1.0642,                 1.7121,                0.66684,                0.46615,                0.56656,                0.31575,                 1.6794,                 1.4798,                 1.9083,               0.001736,               0.001736,               0.001736
                     43,                 1.3046,                 1.0285,                  1.649,                0.58514,                0.53191,                0.57236,                0.29074,                 1.7896,                 1.5215,                 2.0774,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.3579,                  1.073,                 1.7096,                0.57928,                0.57253,                0.58585,                0.31013,                  1.701,                 1.4021,                 2.0014,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.3148,                  1.037,                  1.668,                0.56742,                0.62089,                0.61044,                0.31191,                 1.8507,                 1.4042,                 2.1405,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.3102,                 1.0524,                 1.6467,                0.62282,                0.46518,                0.56265,                0.30923,                   1.57,                 1.4908,                  1.898,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.3282,                 1.0575,                 1.6724,                0.61442,                0.40329,                0.51872,                0.29054,                 1.7175,                 1.6459,                 1.9723,               0.001703,               0.001703,               0.001703
                     48,                 1.3175,                 1.0439,                  1.671,                0.61464,                0.55068,                0.60821,                0.33956,                 1.6657,                 1.3404,                 1.9861,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.3183,                  1.029,                 1.6651,                0.82901,                 0.5706,                0.68876,                0.36216,                 1.6697,                 1.3485,                 1.9825,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.3004,                 1.0163,                 1.6521,                0.78551,                0.42456,                0.59469,                0.34405,                 1.6308,                 1.4028,                  1.912,              0.0016832,              0.0016832,              0.0016832
                     51,                  1.295,                 1.0148,                 1.6491,                0.84482,                0.38878,                0.55423,                0.30255,                  1.669,                 1.4019,                 1.9941,              0.0016766,              0.0016766,              0.0016766
                     52,                  1.291,                 1.0111,                 1.6512,                0.69214,                0.54932,                 0.6277,                0.35339,                 1.5769,                 1.3283,                 1.9071,                0.00167,                0.00167,                0.00167
                     53,                 1.2614,                0.95678,                 1.6105,                0.73167,                0.52998,                0.64101,                0.34524,                 1.6328,                 1.3381,                 1.9059,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.2824,                 1.0158,                   1.63,                0.63179,                0.55126,                0.63576,                 0.3467,                 1.6117,                 1.3126,                  1.861,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.2996,                 1.0044,                 1.6409,                0.64173,                0.52143,                0.57965,                0.32088,                 1.6613,                  1.397,                 1.8542,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.2917,                  1.018,                 1.6526,                 0.6473,                 0.5764,                0.59797,                0.30458,                 1.6913,                 1.3774,                 2.0063,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.2653,                0.97515,                 1.5955,                0.59681,                0.56963,                0.59742,                0.32195,                 1.7068,                  1.412,                 1.9695,               0.001637,               0.001637,               0.001637
                     58,                  1.258,                0.98263,                 1.6027,                 0.5477,                0.50123,                0.55313,                0.27951,                 1.7727,                 1.4825,                 2.0284,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.2627,                0.93729,                 1.6202,                0.62505,                0.49323,                0.55519,                0.32645,                 1.6857,                 1.4562,                 1.9324,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.2545,                0.93351,                 1.5769,                0.77264,                0.53241,                0.66813,                0.37016,                   1.58,                 1.2434,                 1.8111,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.2442,                0.94409,                 1.5827,                0.87351,                0.46712,                0.58012,                0.32426,                 1.5868,                 1.5624,                 1.8452,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.2289,                0.92427,                 1.5571,                0.57011,                0.61219,                0.63444,                 0.3107,                 1.6553,                 1.4258,                 1.9234,               0.001604,               0.001604,               0.001604
                     63,                  1.241,                0.91771,                 1.5971,                0.62742,                0.54352,                0.61505,                0.32607,                 1.6852,                 1.3313,                 1.9343,              0.0015974,              0.0015974,              0.0015974
                     64,                 1.2306,                0.93462,                 1.5598,                0.69288,                0.51275,                0.58157,                  0.326,                 1.6067,                 1.4667,                  1.868,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.2168,                 0.9058,                 1.5332,                0.66594,                0.49741,                0.60897,                0.32924,                 1.6172,                 1.4164,                 1.8348,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.2339,                0.92852,                 1.5643,                0.61319,                0.62379,                 0.6268,                0.31847,                 1.7305,                 1.4392,                 1.9534,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.2387,                0.92624,                 1.5729,                0.85217,                0.51848,                0.67672,                0.36984,                 1.6236,                 1.1878,                 1.8799,               0.001571,               0.001571,               0.001571
                     68,                 1.2356,                0.89394,                 1.5626,                 0.8073,                0.53578,                0.67364,                 0.3403,                 1.7033,                 1.3503,                  2.018,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.2356,                 0.9372,                 1.5794,                0.71315,                0.54739,                0.67082,                0.36223,                 1.6407,                 1.2377,                 1.8369,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.1892,                0.88612,                 1.5378,                0.67887,                0.61605,                 0.6647,                0.35768,                 1.6395,                 1.2105,                 1.8707,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.2014,                0.87931,                 1.5359,                0.66152,                0.55803,                0.62685,                0.36705,                 1.5526,                 1.2817,                 1.8384,              0.0015446,              0.0015446,              0.0015446
                     72,                 1.2055,                0.87377,                 1.5391,                0.68861,                0.67698,                0.71345,                0.38462,                 1.5972,                 1.2033,                  1.841,               0.001538,               0.001538,               0.001538
                     73,                 1.1828,                  0.837,                 1.5196,                 0.7189,                0.59961,                0.70516,                 0.3859,                 1.5515,                 1.1455,                 1.8212,              0.0015314,              0.0015314,              0.0015314
                     74,                 1.1839,                0.83546,                 1.5135,                0.73897,                0.58027,                0.70184,                0.37251,                 1.6108,                 1.1591,                 1.9473,              0.0015248,              0.0015248,              0.0015248
                     75,                 1.1714,                0.85612,                 1.5112,                 0.7527,                0.57106,                0.66496,                0.37015,                 1.6009,                 1.1961,                  1.829,              0.0015182,              0.0015182,              0.0015182
                     76,                 1.1806,                0.83601,                 1.5202,                0.65683,                0.60715,                0.66791,                0.36543,                 1.5865,                 1.2147,                 1.8389,              0.0015116,              0.0015116,              0.0015116
                     77,                 1.1758,                0.87542,                 1.5267,                0.80021,                0.45455,                0.60755,                   0.34,                 1.6433,                 1.4506,                 1.8774,               0.001505,               0.001505,               0.001505
                     78,                 1.1596,                0.81801,                 1.4926,                0.63393,                 0.6354,                0.68681,                0.37813,                 1.6019,                 1.2429,                 1.8412,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.1463,                0.82111,                 1.4953,                0.68742,                0.59671,                0.67809,                0.36467,                 1.6358,                 1.1869,                 1.9011,              0.0014918,              0.0014918,              0.0014918
                     80,                  1.158,                0.82708,                 1.4976,                0.67944,                0.61412,                0.67318,                0.37086,                 1.5943,                 1.2001,                 1.8472,              0.0014852,              0.0014852,              0.0014852
                     81,                 1.1316,                0.81042,                 1.4797,                0.76009,                0.55029,                0.68857,                0.36745,                 1.6911,                 1.2466,                 1.8985,              0.0014786,              0.0014786,              0.0014786
