                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5641,                 3.9753,                 4.3509,                0.00305,                0.20986,                0.00199,                0.00087,                 3.9759,                 3.7989,                 4.1584,              4.998e-05,              4.998e-05,              4.998e-05
                      2,                 3.5411,                 3.9781,                  4.365,                0.00313,                 0.2118,                0.00278,                0.00121,                 3.9758,                  3.805,                 4.1587,             0.00010675,             0.00010675,             0.00010675
                      3,                  3.463,                 3.3917,                 4.1491,                0.00306,                 0.2118,                0.00279,                 0.0012,                 3.9801,                 3.8109,                 4.1639,             0.00016314,             0.00016314,             0.00016314
                      4,                 3.1632,                 3.0693,                 4.0008,                0.00304,                0.20986,                0.00268,                0.00117,                 4.0023,                 3.8329,                 4.1897,             0.00021915,             0.00021915,             0.00021915
                      5,                 2.8642,                 2.7698,                 3.7461,                0.00302,                0.20793,                0.00389,                0.00161,                 4.0541,                 3.8598,                 4.2426,             0.00027478,             0.00027478,             0.00027478
                      6,                 2.6589,                 2.5716,                 3.5431,                0.00306,                0.20986,                0.00753,                0.00327,                 4.0727,                 3.7957,                 4.2768,             0.00033004,             0.00033004,             0.00033004
                      7,                 2.5021,                 2.3817,                 3.3443,                0.00316,                  0.206,                0.00289,                0.00123,                 4.0699,                 3.8221,                  4.282,             0.00038492,             0.00038492,             0.00038492
                      8,                 2.3049,                 2.1549,                 3.0302,                0.00903,                0.15667,                0.00571,                0.00241,                 4.0858,                 4.0107,                 4.2852,             0.00043943,             0.00043943,             0.00043943
                      9,                 2.2946,                 2.1291,                 2.8867,                0.00839,                 0.1383,                0.00536,                0.00224,                 4.0278,                 4.3102,                 4.2451,             0.00049356,             0.00049356,             0.00049356
                     10,                 2.1684,                 2.0005,                 2.7323,                0.00314,                0.04449,                0.00173,                0.00079,                 4.0543,                 4.1815,                 4.2549,             0.00054731,             0.00054731,             0.00054731
                     11,                 2.1391,                 1.8847,                 2.6338,                0.24069,                0.04352,                 0.0464,                0.01321,                 3.4141,                 3.4151,                 3.9108,             0.00060068,             0.00060068,             0.00060068
                     12,                 2.0693,                 1.8555,                 2.5552,                0.16849,                0.30747,                0.10515,                0.03742,                 2.6024,                 11.728,                 3.4786,             0.00065368,             0.00065368,             0.00065368
                     13,                 1.9605,                 1.7086,                 2.4241,                0.09921,                0.32108,                0.06171,                0.02087,                 2.7667,                 15.331,                 4.0616,             0.00068573,             0.00068573,             0.00068573
                     14,                 1.8902,                 1.7058,                  2.365,                0.31197,                0.35493,                0.27234,                0.10819,                  2.108,                 4.5984,                 3.0303,             0.00068573,             0.00068573,             0.00068573
                     15,                 1.8552,                 1.5808,                 2.2921,                0.41516,                0.44681,                 0.3626,                0.15382,                 2.1309,                 2.7772,                 2.7378,             0.00068337,             0.00068337,             0.00068337
                     16,                 1.7437,                 1.5047,                 2.1657,                0.33833,                0.33172,                0.22682,                0.09011,                 2.2237,                 2.5491,                 2.6705,             0.00068101,             0.00068101,             0.00068101
                     17,                 1.6804,                 1.4362,                 2.1441,                0.56825,                0.37041,                0.41976,                0.18888,                 1.9304,                  2.164,                 2.5235,             0.00067866,             0.00067866,             0.00067866
                     18,                 1.6139,                 1.3128,                 2.0566,                0.30184,                 0.3968,                0.31514,                0.17648,                 1.9123,                 2.7609,                 2.3532,              0.0006763,              0.0006763,              0.0006763
                     19,                 1.5729,                 1.3276,                  2.048,                0.55874,                 0.3833,                0.41262,                0.17674,                 1.9869,                 2.1982,                  2.429,             0.00067394,             0.00067394,             0.00067394
                     20,                 1.5891,                 1.2507,                 2.0258,                0.67712,                0.35783,                0.45993,                0.23377,                 1.9827,                  2.116,                 2.5309,             0.00067159,             0.00067159,             0.00067159
                     21,                 1.5476,                 1.2717,                 1.9866,                0.60563,                0.45841,                 0.5409,                0.26103,                 1.9449,                 1.5729,                 2.4605,             0.00066923,             0.00066923,             0.00066923
                     22,                 1.5114,                 1.2084,                 1.9648,                0.56555,                0.40716,                0.43757,                0.23148,                  2.017,                 1.9646,                 2.4827,             0.00066688,             0.00066688,             0.00066688
                     23,                 1.4742,                 1.1129,                 1.8879,                0.49905,                0.31915,                0.30833,                 0.1529,                  2.004,                  3.139,                 2.4237,             0.00066452,             0.00066452,             0.00066452
                     24,                 1.4745,                 1.1461,                  1.881,                0.54198,                0.36074,                 0.3756,                  0.205,                 1.9934,                 2.0785,                 2.3014,             0.00066216,             0.00066216,             0.00066216
                     25,                 1.4687,                 1.1417,                 1.8779,                0.58049,                0.45551,                0.54041,                0.28855,                 1.7107,                 1.6044,                 2.1087,             0.00065981,             0.00065981,             0.00065981
                     26,                 1.3864,                 1.0424,                 1.7914,                0.60811,                0.52224,                 0.5628,                0.30631,                 1.7467,                 1.5494,                 2.2499,             0.00065745,             0.00065745,             0.00065745
                     27,                 1.3381,                0.99223,                 1.7582,                0.60007,                0.63733,                0.63976,                0.29348,                 1.8252,                 1.7282,                 2.2706,             0.00065509,             0.00065509,             0.00065509
                     28,                 1.3426,                 1.0009,                 1.7801,                 0.5887,                 0.4971,                0.57908,                0.32796,                 1.7228,                 1.5516,                 2.1614,             0.00065274,             0.00065274,             0.00065274
                     29,                 1.3533,                 1.0087,                  1.793,                0.55694,                0.58511,                 0.5894,                0.31231,                 1.7026,                 1.4209,                  2.121,             0.00065038,             0.00065038,             0.00065038
                     30,                  1.358,                 1.0194,                 1.7711,                0.82156,                0.50193,                0.63968,                0.33504,                  1.735,                 1.4594,                 2.2318,             0.00064803,             0.00064803,             0.00064803
                     31,                 1.3409,                0.94611,                 1.7418,                0.52694,                0.47389,                0.48975,                0.26321,                 1.7937,                 1.6502,                 2.2005,             0.00064567,             0.00064567,             0.00064567
                     32,                 1.3196,                0.92954,                 1.7279,                0.76026,                0.53288,                 0.6106,                0.33192,                 1.7231,                 1.3558,                   2.24,             0.00064331,             0.00064331,             0.00064331
                     33,                 1.2835,                0.90139,                 1.6982,                0.63613,                0.48693,                0.55297,                0.25155,                 1.9562,                 1.4761,                 2.3343,             0.00064096,             0.00064096,             0.00064096
                     34,                 1.2675,                0.88316,                 1.6733,                0.70791,                0.51566,                0.62449,                0.34529,                 1.6477,                 1.3193,                 2.1688,              0.0006386,              0.0006386,              0.0006386
                     35,                 1.3335,                 0.9293,                 1.7503,                0.44467,                0.58221,                0.53675,                0.30308,                 1.7101,                 1.5471,                 2.2219,             0.00063625,             0.00063625,             0.00063625
                     36,                 1.2661,                 0.8823,                 1.6617,                0.55595,                0.46809,                0.48798,                0.27531,                 1.7068,                 1.6633,                 2.1198,             0.00063389,             0.00063389,             0.00063389
                     37,                  1.251,                0.88935,                 1.6532,                0.58243,                0.62591,                0.62755,                0.30543,                 1.7062,                 1.4354,                 2.1924,             0.00063153,             0.00063153,             0.00063153
                     38,                 1.2448,                0.87898,                 1.6505,                0.67349,                0.54159,                0.63644,                0.34215,                 1.6564,                  1.326,                  2.127,             0.00062918,             0.00062918,             0.00062918
                     39,                 1.2524,                0.85188,                 1.6386,                 0.7053,                0.54836,                0.63103,                0.33389,                 1.7735,                 1.3824,                  2.255,             0.00062682,             0.00062682,             0.00062682
                     40,                 1.2708,                0.88081,                 1.6843,                0.53219,                0.53095,                 0.5133,                0.28199,                 1.7275,                 1.3973,                  2.101,             0.00062446,             0.00062446,             0.00062446
                     41,                 1.2038,                0.83895,                 1.6234,                0.52594,                0.55126,                0.57574,                0.32788,                 1.6759,                 1.3259,                 2.0979,             0.00062211,             0.00062211,             0.00062211
                     42,                 1.2566,                0.85459,                 1.6645,                0.68765,                0.58704,                0.64991,                0.32415,                 1.7666,                 1.3302,                 2.1983,             0.00061975,             0.00061975,             0.00061975
                     43,                 1.2612,                0.85645,                  1.677,                0.55131,                0.52031,                0.59178,                0.32082,                 1.6243,                 1.4429,                 2.0732,              0.0006174,              0.0006174,              0.0006174
                     44,                 1.2411,                0.81876,                 1.6281,                0.76504,                0.58607,                0.71429,                0.35073,                 1.7705,                 1.1477,                  2.344,             0.00061504,             0.00061504,             0.00061504
                     45,                 1.2189,                0.80563,                 1.6329,                0.72137,                 0.6383,                0.71278,                0.39965,                 1.5628,                 1.1882,                 1.9515,             0.00061268,             0.00061268,             0.00061268
                     46,                 1.1731,                0.80651,                 1.5855,                 0.8071,                0.53965,                0.64964,                0.34318,                 1.7316,                 1.2926,                 2.2668,             0.00061033,             0.00061033,             0.00061033
                     47,                  1.209,                0.77666,                 1.6104,                0.65773,                0.59099,                0.66243,                0.34686,                 1.6763,                 1.2067,                 2.1998,             0.00060797,             0.00060797,             0.00060797
                     48,                 1.1661,                0.78298,                 1.5704,                0.81612,                 0.4971,                0.63802,                0.34685,                 1.6665,                 1.2944,                  2.186,             0.00060561,             0.00060561,             0.00060561
                     49,                 1.2329,                0.82465,                  1.622,                 0.7166,                0.57447,                0.67496,                0.39123,                 1.5556,                 1.1686,                 1.9677,             0.00060326,             0.00060326,             0.00060326
