                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4642,                  3.727,                 4.2452,                0.00307,                0.21083,                0.00751,                0.00248,                 3.9773,                 3.8316,                 4.1711,                 0.0006,                 0.0006,                 0.0006
                      2,                 3.1862,                 3.1481,                 3.7471,                0.00317,                0.20406,                0.00274,                0.00118,                 4.1337,                 3.8122,                 4.3515,               0.001216,               0.001216,               0.001216
                      3,                 2.9526,                 2.9026,                 3.4202,                0.01418,                0.51934,                0.03074,                0.00954,                 3.3658,                 3.4663,                 3.7138,              0.0018279,              0.0018279,              0.0018279
                      4,                 2.6999,                  2.676,                 3.1263,                0.04026,                0.17408,                0.02802,                0.00938,                 2.9724,                 5.7874,                  3.307,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.5298,                 2.4926,                 2.9421,                0.05121,                0.21373,                0.05156,                0.01663,                 2.9144,                 7.8055,                 3.2875,              0.0019802,              0.0019802,              0.0019802
                      6,                 2.4306,                 2.3015,                 2.7843,                0.13826,                0.27466,                0.07858,                0.03111,                 2.6587,                 3.9875,                 2.9105,              0.0019736,              0.0019736,              0.0019736
                      7,                 2.2778,                 2.2219,                 2.6489,                0.36133,                0.37137,                0.36208,                0.13607,                 2.2948,                 3.9163,                 2.6359,               0.001967,               0.001967,               0.001967
                      8,                 2.2484,                 2.1342,                 2.6054,                0.22807,                0.32592,                0.27117,                0.11259,                 2.5363,                 2.3186,                 2.6941,              0.0019604,              0.0019604,              0.0019604
                      9,                 2.1418,                 1.9988,                 2.5251,                 0.5899,                0.31915,                 0.4092,                0.18194,                 2.1942,                 1.9437,                 2.5221,              0.0019538,              0.0019538,              0.0019538
                     10,                 2.0454,                 1.9511,                 2.4459,                0.61931,                0.38395,                0.44681,                0.16979,                 2.1958,                 2.0135,                 2.5624,              0.0019472,              0.0019472,              0.0019472
                     11,                 2.0374,                 1.9156,                 2.4325,                0.59455,                0.37156,                0.41646,                0.21604,                  2.156,                 1.8587,                 2.5157,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.9581,                 1.8173,                 2.3621,                0.57214,                0.48356,                0.53299,                0.22988,                 2.1503,                 1.7705,                 2.4592,               0.001934,               0.001934,               0.001934
                     13,                 1.8917,                 1.6985,                 2.2692,                0.52362,                0.45284,                0.48981,                0.22058,                 2.1136,                  2.183,                 2.4633,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.8793,                 1.6774,                 2.2518,                 0.5461,                0.40026,                0.47742,                0.22979,                 1.8709,                 1.7008,                 2.2345,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.8254,                 1.6381,                 2.1919,                0.75409,                0.39445,                0.52095,                0.26273,                 1.9783,                 1.7749,                 2.2887,              0.0019142,              0.0019142,              0.0019142
                     16,                  1.767,                 1.5481,                 2.1421,                0.57688,                0.47679,                0.53751,                0.26102,                 1.9735,                 1.5913,                 2.2967,              0.0019076,              0.0019076,              0.0019076
                     17,                  1.743,                 1.5191,                 2.1057,                0.50683,                 0.5087,                0.52566,                0.22968,                 2.0422,                 1.5983,                 2.3987,               0.001901,               0.001901,               0.001901
                     18,                   1.74,                 1.4894,                 2.1073,                0.71556,                0.44874,                0.53031,                0.24826,                  1.958,                 1.6614,                 2.2978,              0.0018944,              0.0018944,              0.0018944
                     19,                  1.663,                 1.4316,                 2.0403,                0.73971,                0.40039,                0.52571,                0.26053,                 1.8864,                 1.6661,                 2.3005,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.6369,                 1.4156,                 2.0143,                0.56217,                0.48646,                0.50738,                0.24706,                 1.8153,                 1.6732,                 2.2209,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.5894,                 1.3455,                 1.9776,                0.51049,                0.54255,                0.54563,                0.26388,                 1.8165,                 1.6505,                 2.1757,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.6086,                 1.3582,                 1.9905,                0.84816,                0.34574,                0.54111,                0.28211,                 1.7207,                 1.6266,                    2.1,               0.001868,               0.001868,               0.001868
                     23,                 1.6095,                 1.3572,                 1.9783,                0.52314,                 0.4403,                0.42833,                0.20909,                 2.0003,                 1.9011,                 2.3376,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.5969,                 1.3263,                 1.9683,                0.74915,                0.39568,                0.54302,                0.26595,                 1.8923,                  1.613,                 2.1808,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.5198,                 1.2553,                 1.9093,                0.54504,                0.53759,                0.56287,                 0.2676,                 1.8621,                 1.6308,                 2.1964,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.5464,                 1.2852,                 1.9417,                0.71616,                0.40995,                0.55598,                0.29732,                 1.7244,                 1.4629,                 2.0697,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.4892,                 1.2548,                 1.8732,                 0.4636,                0.48646,                 0.5229,                0.25872,                 1.8176,                 1.7059,                 2.1445,               0.001835,               0.001835,               0.001835
